iatiidentifier,donor,x1_donor_type,modality,recipient_main,complete_flag,y1_gap_full,y2_early_days,commitment_usd_full,s1_share,s2_hhi_net,s3_n_donors,n_years_obs,withheld
CA-3-A033640001,"EN: Foreign Affairs, Trade and Development Canada (DFATD), FR: Affaires étrangères, Commerce et Développement Canada (MAECD)",Bilateral,A02_sector,HN,1,0.00819025052282829,0,9217866.530612243,0.17269013046179388,0.8168698090319614,2.1666666666666665,1,0
CA-3-A034252001,"EN: Foreign Affairs, Trade and Development Canada (DFATD), FR: Affaires étrangères, Commerce et Développement Canada (MAECD)",Bilateral,A02_sector,BD,1,0,0,45038705.137227304,0.46175901555117715,0.7938840356741137,1.8,1,0
CA-3-A034769001,"EN: Foreign Affairs, Trade and Development Canada (DFATD), FR: Affaires étrangères, Commerce et Développement Canada (MAECD)",Bilateral,A02_sector,ML,1,0.15316503622958655,0,2995812.5897255456,0.42804998239495207,0.44859004539775715,2.6666666666666665,1,0
CA-3-A035261001,"EN: Foreign Affairs, Trade and Development Canada (DFATD), FR: Affaires étrangères, Commerce et Développement Canada (MAECD)",Bilateral,A02_sector,MZ,1,0,1551,3442646.023926812,0.22576271987198518,0.4445622117437126,3,1,0
CA-3-A035342001,"EN: Foreign Affairs, Trade and Development Canada (DFATD), FR: Affaires étrangères, Commerce et Développement Canada (MAECD)",Bilateral,A02_sector,TZ,1,0.00840969928990098,-2059,1869594.8486981,0.22943501538419775,0.6882022540572057,3.2,1,0
CA-3-A035369002,"EN: Foreign Affairs, Trade and Development Canada (DFATD), FR: Affaires étrangères, Commerce et Développement Canada (MAECD)",Bilateral,A02_sector,SN,1,0,-149,10907811.400422238,0.768199527124799,0.32021915917943033,1.75,1,0
CA-3-A035369003,"EN: Foreign Affairs, Trade and Development Canada (DFATD), FR: Affaires étrangères, Commerce et Développement Canada (MAECD)",Bilateral,A02_sector,SN,1,0,-359,84447572.1323012,0.6893107135202021,0.34420684778787997,1.8,1,0
CA-3-A035435001,"EN: Foreign Affairs, Trade and Development Canada (DFATD), FR: Affaires étrangères, Commerce et Développement Canada (MAECD)",Bilateral,A02_sector,ML,1,0,-295,14074595.355383532,0.4179563020287892,0.42404055895743,2.5,1,0
CA-3-D000301001,"EN: Foreign Affairs, Trade and Development Canada (DFATD), FR: Affaires étrangères, Commerce et Développement Canada (MAECD)",Bilateral,A01_general,TZ,1,1.428571261286038e-9,0,4926108.381421533,0.05669369367770689,0.43921142096597604,5,1,0
CA-3-D000327001,"EN: Foreign Affairs, Trade and Development Canada (DFATD), FR: Affaires étrangères, Commerce et Développement Canada (MAECD)",Bilateral,A02_sector,JO,1,1.6324259016398113e-4,0,13629223.891625617,0.02240910700859829,0.9557426327300719,2.25,1,0
CA-3-D000954001,"EN: Foreign Affairs, Trade and Development Canada (DFATD), FR: Affaires étrangères, Commerce et Développement Canada (MAECD)",Bilateral,A02_sector,BF,1,0,0,12315270.93596059,0.4454839160560391,0.23862416702221018,3,1,0
CA-3-A032220001,"EN: Foreign Affairs, Trade and Development Canada (DFATD), FR: Affaires étrangères, Commerce et Développement Canada (MAECD)",Bilateral,A02_sector,ML,1,0.02917465474861236,275,12511333.983110486,0.38488009156002573,0.6455721113864886,2.142857142857143,1,0
CA-3-A032230001,"EN: Foreign Affairs, Trade and Development Canada (DFATD), FR: Affaires étrangères, Commerce et Développement Canada (MAECD)",Bilateral,A02_sector,VN,1,0.00743115788639314,91,6951998.761435608,0.0023504904224115027,0.8045259312126986,4.4,1,0
CA-3-A034768005,"EN: Foreign Affairs, Trade and Development Canada (DFATD), FR: Affaires étrangères, Commerce et Développement Canada (MAECD)",Bilateral,A02_sector,ML,1,0.00405274976227776,NA,3278593.4412385644,0.3793571320116682,0.7564836568596411,2,1,0
