iatiidentifier,donor_ref,donor,org_type,x1_donor_type,a01,a02,modality,declared_activity,declared_transaction,status_code,status_name,title
46002-P-GH-I00-003,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,"EN: Ghana - Women and Youth Employment and Social Cohesion (GWYESCO) Programme, FR: Ghana - Programme pour l'emploi des femmes et des jeunes et la cohésion sociale (GWYESCO)"
46002-P-GH-K00-008,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Ghana - Second Poverty Reduction Support Loan (PRSL II), FR: Ghana - Deuxième Prêt d'Appui à la Réduction de la Pauvreté (PARP II)"
46002-P-GH-K00-012,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Ghana - Poverty Reduction and Business Environment Support Programme (PRBESP), FR: Ghana - Programme d’appui à la réduction de la pauvreté et au climat des affaires (PARPCA)"
46002-P-GH-K00-013,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Ghana - Public Financial Management and Private Sector Competitiveness Support Programme - Phase I, FR: Ghana - Programme d’appui à la gestion des finances publiques et à la compétitivité du secteur privé - Phase I"
46002-P-GH-K00-018,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,2,Implementation,"EN: Ghana - Fiscal consolidation and economic recovery program (FISCERP), FR: Ghana - Programme de consolidation fiscale et de relance économique (FISCERP)"
46002-P-GH-KA0-003,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Ghana - The Third Poverty Reduction Support Programme (PRSL III), FR: Ghana - Troisième programme d'appui à la réduction de la pauvreté (PRSL III)"
46002-P-GH-KA0-006,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Ghana - Public Financial Management and Private Sector Competitiveness Support Programme - Phase II, FR: Ghana - Programme d’appui à la gestion des finances
publiques et à la compétitivité du secteur privé - Deuxième phase"
46002-P-GH-KA0-008,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Ghana - Covid-19 Response Support Programme, FR: Ghana - Programme d'appui à la riposte à la Covid-19"
46002-P-GM-J00-002,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,"EN: Gambia - Greater Banjul Area: Sustainable Urban Development Programme 2020-40 (GBA-SUDP), FR: Gambie - Agglomération de Banjul : Programme de développement urbain durable 2020-40 (GBA-SUDP)"
46002-P-GM-K00-010,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: The Gambia - Economic and Financial Governance Operation (EFIGO) – Phase II, FR: Gambie - Opération d’appui à la gouvernance économique et financière - Phase II"
