iatiidentifier,year,commitment_usd,disbursement_usd,n_disb_tx
XM-DAC-6-4-011005-01-3,2017,3957819.84,938409.84,1
XM-DAC-6-4-011005-01-3,2020,0,1834855.578,1
XM-DAC-6-4-011005-01-3,2022,0,1184554.422,1
XM-DAC-6-4-010877-02-0,2019,0,568871.6562000001,1
XM-DAC-6-4-010877-02-0,2018,568871.6562000001,0,0
XM-DAC-6-4-010888-01-0,2022,0,251330.082552,2
XM-DAC-6-4-010888-01-0,2017,398790,0,0
XM-DAC-6-4-010152-01-5,2019,0,506717.3862,1
XM-DAC-6-4-010152-01-5,2017,1156739.3892,418615.56,1
XM-DAC-6-4-009659-01-6,2019,0,873236.16,1
XM-DAC-6-4-009659-01-6,2015,1617948,744711.8400000001,1
XM-DAC-6-4-011598-01-6,2022,4610468.16,0,0
XM-DAC-6-4-011835-01-4,2021,3361230,3361230,1
XM-DAC-6-4-011835-01-4,2020,2278800,2278800,1
XM-DAC-6-4-011764-02-3,2022,1358073.648,0,0
XM-DAC-6-4-011764-02-3,2020,1490426.3520000002,1490426.3520000002,1
XM-DAC-6-4-011764-02-3,2023,0,3.87396,1
XM-DAC-6-4-011389-02-2,2019,5697000,1553457.9600000002,1
XM-DAC-6-4-010081-01-3,2014,0,3418200,1
XM-DAC-6-4-010081-01-3,2015,0,2848500,1
XM-DAC-6-4-010081-01-3,2016,0,1709100,1
XM-DAC-6-4-011755-03-0,2022,1139400,504942.201,3
XM-DAC-6-4-010718-02-4,2017,0,1595160,1
XM-DAC-6-4-010718-02-4,2015,1595160,0,0
XM-DAC-6-4-010418-01-5,2014,3987900,0,0
XM-DAC-6-4-010418-01-5,2015,0,3987900,1
XM-DAC-6-4-010418-01-5,2019,0,36.893772000000006,1
XM-DAC-6-4-012316-01-0,2022,1139400,797580,2
XM-DAC-3-1-185092-24540,2014,0,13720709.614475831,3
XM-DAC-3-1-185092-24540,2015,0,5391676.562142716,2
XM-DAC-3-1-187132-24323,2014,0,738.6926629979116,3
XM-DAC-3-1-191966-24982,2014,0,2134178.865531487,2
XM-DAC-3-1-107049-16394,2014,0,-222422.57808808063,3
XM-DAC-3-1-114412-14709,2019,0,-2263.3912102318636,1
XM-DAC-3-1-144397-20541,2016,0,160.52073964542143,3
XM-DAC-3-1-144397-20541,2020,0,15169.159590847421,5
XM-DAC-3-1-144397-20541,2018,0,-80.26036982271071,1
XM-DAC-3-1-144397-20541,2014,0,-123798.32314516991,3
XM-DAC-3-1-144397-20541,2017,0,107.01382643028096,1
XM-DAC-3-1-144397-20541,2015,0,-107.01382643028096,1
XM-DAC-3-1-160285-21566,2014,0,1143.3101114346257,1
XM-DAC-3-1-172859-23033,2014,609765.3927651336,12053494.931325173,10
XM-DAC-3-1-172859-23033,2016,-835378.588088233,498195.3764539094,4
XM-DAC-3-1-172859-23033,2017,46431.681885394595,38518.44540313115,1
XM-DAC-3-1-172859-23033,2015,-1371972.1337215507,11312200.431409014,9
XM-DAC-3-1-174458-24297,2015,0,8989103.250049544,4
XM-DAC-3-1-174458-24297,2014,0,0,2
XM-DAC-3-1-204943-27743,2016,0,17382836.256650254,4
XM-DAC-3-1-204943-27743,2015,0,2656233.65447644,2
XM-DAC-3-1-204943-27743,2017,-331667.4034665163,8858390.108080916,3
XM-DAC-3-1-204943-27743,2014,0,8856842.325340325,2
XM-DAC-3-1-209288-26075,2016,0,-147494.62644247626,1
XM-DAC-3-1-209288-26075,2015,0,9723036.936538666,3
XM-DAC-3-1-209288-26075,2014,0,9632067.562005518,3
XM-DAC-3-1-209288-26078,2016,-179880.79086571443,0,0
XM-DAC-3-1-229249-29282,2014,57165505.57173128,0,0
XM-DAC-3-1-229249-29282,2020,-3506151.008399518,21768624.521715272,14
XM-DAC-3-1-229249-29282,2023,-1097577.7069772405,0,0
XM-DAC-3-1-229249-29282,2018,0,7114437.720087197,1
XM-DAC-3-1-229249-29282,2017,0,7670897.937468559,2
XM-DAC-3-1-229249-29282,2021,-9908687.63243342,0,0
XM-DAC-3-1-229249-29282,2019,-6097653.927651336,0,0
XM-DAC-3-1-255454-30798,2018,11433101.114346255,11433101.114346256,1
XM-DAC-3-1-255454-30798,2016,11433101.114346255,10670894.373389838,1
XM-DAC-3-1-255454-30798,2017,10670894.373389838,11433101.114346256,1
XM-DAC-3-1-255454-31740,2022,0,-19799.99237793259,1
XM-DAC-3-1-255454-31740,2020,-792695.0105946737,797754.234058446,1
XM-DAC-3-1-255454-31740,2018,304882.6963825668,1448847.0205338495,1
XM-DAC-3-1-255454-31740,2017,2743944.2674431014,0,0
XM-DAC-3-1-255454-31741,2019,0,179406.446744615,4
XM-DAC-3-1-255454-31741,2021,0,68483.80310675468,5
XM-DAC-3-1-255454-31741,2020,-45732.40445738502,160723.42566197654,3
XM-DAC-3-1-255454-31741,2018,0,95437.49142517417,3
XM-DAC-3-1-255454-31741,2017,609765.3927651336,0,0
XM-DAC-6-4-010693-01-2,2015,826065,826065,1
XM-DAC-6-4-010693-01-2,2018,0,-21226.942242,1
XM-DAC-6-4-010084-02-3,2015,1105218,1105218,1
XM-DAC-6-4-010084-02-3,2017,0,-21970.412136,1
XM-DAC-6-4-010496-02-1,2016,62667,62667,1
XM-DAC-6-4-010496-02-1,2020,0,-41866.250328,1
XM-DAC-3-1-49056-19443,2020,-60502.04271406576,0,0
XM-DAC-3-1-49056-19443,2016,0,-60502.04271406575,4
XM-DAC-3-1-49056-19443,2015,0,65673.44166831812,2
XM-DAC-3-1-49056-19443,2014,0,-18857.436851171515,2
XM-DAC-6-4-010680-01-4,2015,2278800,2278800,1
XM-DAC-6-4-010680-01-4,2017,0,-58948.51113,1
XM-DAC-6-4-011068-01-3,2020,797580,1253340,3
XM-DAC-6-4-011068-01-3,2021,0,797580,3
XM-DAC-6-4-011068-01-3,2017,1253340,797580,3
XM-DAC-6-4-010733-01-5,2018,0,-1329.62283,1
XM-DAC-6-4-010733-01-5,2015,3418200,3418200,1
XM-DAC-6-4-011649-01-3,2021,15564204,3190320,1
XM-DAC-6-4-010997-01-1,2018,0,341820,1
XM-DAC-6-4-010997-01-1,2020,0,341820,1
XM-DAC-6-4-010997-01-1,2017,683640,0,0
XM-DAC-6-4-009147-01-4,2015,0,569700,1
XM-DAC-6-4-009147-01-4,2017,0,569700,1
XM-DAC-6-4-009147-01-4,2014,0,647181.775044,1
XM-DAC-6-4-008465-03-0,2014,866513.7000000001,866513.7000000001,1
XM-DAC-6-4-008465-03-0,2015,337946.04000000004,337946.04000000004,1
XM-DAC-6-4-008465-03-0,2017,0,-89903.59360200001,1
XM-DAC-6-4-010997-03-3,2017,341820,341820,1
XM-DAC-6-4-011097-01-5,2017,3418200,1139400,3
XM-DAC-6-4-011097-01-5,2019,0,1139400,3
XM-DAC-6-4-011097-01-5,2018,0,1139400,3
XM-DAC-6-4-010049-01-2,2016,0,1139400,1
XM-DAC-6-4-010049-01-2,2015,0,1139400,1
XM-DAC-6-4-010049-01-2,2014,0,1139400,1
XM-DAC-6-4-009696-03-5,2015,148122,148122,1
XM-DAC-6-4-009696-03-5,2019,0,9.354474000000002,1
XM-DAC-6-4-012041-01-3,2022,3987900,0,0
XM-DAC-6-4-012041-01-3,2023,0,1922338.71,1
XM-DAC-6-4-010497-01-2,2015,267759,187431.3,1
XM-DAC-6-4-011023-01-4,2020,-1709100,0,0
XM-DAC-6-4-011023-01-4,2017,1709100,0,0
XM-DAC-6-4-012586-01-0,2022,125334000,125334000,1
XM-DAC-6-4-010408-01-6,2015,0,24387.296022,1
XM-DAC-6-4-010408-01-6,2016,0,285.898248,1
XM-DAC-6-4-010408-01-6,2014,106306.02,0,0
XM-DAC-6-4-010408-01-6,2020,0,18.788706,1
XM-DAC-6-4-010408-01-6,2018,0,7425.652104,1
XM-DAC-6-4-010519-02-5,2016,19.620468,19.620468,1
XM-DAC-6-4-010519-02-5,2015,5836.8043800000005,5836.8043800000005,1
XM-DAC-6-4-010519-02-5,2017,124.47945,124.47945,1
XM-DAC-6-4-009614-01-0,2015,0,535062.24,1
XM-DAC-6-4-010607-01-5,2017,0,2256012,1
XM-DAC-6-4-010607-01-5,2015,2256012,0,0
XM-DAC-6-4-010744-01-6,2019,0,5540913.5940000005,1
XM-DAC-6-4-010744-01-6,2018,5540913.5940000005,0,0
XM-DAC-6-4-010419-01-0,2015,1140471.036,0,0
XM-DAC-6-4-010419-01-0,2017,0,782699.436,1
XM-DAC-6-4-010419-01-0,2021,0,-51.067908,1
XI-IATI-EC_INTPA-2023-ACT-61831,2023,7579137.2598,0,0
XI-IATI-EC_INTPA-2021-PCC-427597,2021,4044870,0,0
XI-IATI-EC_INTPA-2023-PC-23134,2023,5440635,1632526.623,1
XI-IATI-EC_INTPA-2022-ACT-61306,2022,68364000,0,0
XI-IATI-EC_INTPA-2023-PC-23130,2023,5144220.09,341820,1
XI-IATI-EC_INTPA-2023-PC-23139,2023,51273000,0,0
XI-IATI-EC_INTPA-2023-ACT-61724,2023,34182000,0,0
XI-IATI-EC_INTPA-2022-PC-21502,2022,110521800,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40701-00,2023,-506864.551104,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40701-00,2018,150400800,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40701-00,2020,22674060,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40643-00,2023,-1297913.328,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40643-00,2020,21044718,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40643-00,2018,47289085.6212,0,0
XI-IATI-EC_INTPA-2017-ACT-D-39656-00,2017,186857614.3788,0,0
XI-IATI-EC_INTPA-2021-ACT-61116,2021,113940000,0,0
XI-IATI-EC_INTPA-2019-PCC-410060,2019,148122000,0,0
XI-IATI-EC_INTPA-2019-PCC-410060,2020,22674060,0,0
XI-IATI-EC_INTPA-2018-PCC-404409,2018,227880000,0,0
XI-IATI-EC_INTPA-2018-PCC-404409,2021,19369800,0,0
XI-IATI-EC_INTPA-2022-ACT-60736,2022,2848500,0,0
XI-IATI-EC_INTPA-2023-PC-25058,2023,2278800,0,0
XI-IATI-EC_INTPA-2008-ACT-D-20972-01,2017,-4557600,0,0
XI-IATI-EC_INTPA-2021-ACT-61083,2023,-170910000,0,0
XI-IATI-EC_INTPA-2021-ACT-61083,2021,170910000,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38574-01,2016,154958400,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38574-01,2019,-6591429,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38574-01,2022,-3345059.7035640003,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38574-01,2018,5697000,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38574-01,2020,55516134.681018,0,0
XI-IATI-EC_INTPA-2020-PCC-417520,2020,888732,660852,1
XI-IATI-EC_INTPA-2023-PC-27358,2023,153122.8266,61249.13064,1
XI-IATI-EC_INTPA-2021-PCC-417549,2021,266965.97760000004,106786.39104000002,1
XI-IATI-EC_INTPA-2016-ACT-D-38564-01,2016,95709600,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38564-01,2019,-3646080,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38564-01,2020,-25693470,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38569-00,2019,-1196370,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38569-00,2020,-11977490.84184,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38569-00,2016,61527600,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38575-00,2019,-7690950,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38575-00,2020,-50532390,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38575-00,2016,133309800,0,0
XI-IATI-EC_INTPA-2022-PC-21515,2022,113256.36,0,0
XI-IATI-EC_INTPA-2019-ACT-D-42209-00,2019,28485000,0,0
XI-IATI-EC_INTPA-2019-PCC-407596,2019,1139302.0116,740821.153608,1
XI-IATI-EC_INTPA-2019-PCC-407596,2021,0,284550.656832,2
XI-IATI-EC_INTPA-2019-PCC-404038,2019,1025460,335010.911418,1
XI-IATI-EC_INTPA-2019-PCC-404038,2020,0,440640.196182,1
XI-IATI-EC_INTPA-2019-PCC-404038,2021,0,147262.8924,1
XI-IATI-EC_INTPA-2021-PCC-422434,2021,99583.56,39833.424,1
XI-IATI-EC_INTPA-2018-PCC-383693,2018,1936978.439022,769315.143474,2
XI-IATI-EC_INTPA-2018-PCC-383693,2019,0,603688.826124,1
XI-IATI-EC_INTPA-2018-PCC-383693,2021,0,615303.4937219999,2
XI-IATI-EC_INTPA-2018-PCC-397536,2021,0,658583.4204180001,2
XI-IATI-EC_INTPA-2018-PCC-397536,2018,2278800,649376.088534,1
XI-IATI-EC_INTPA-2018-PCC-397536,2020,0,742960.491048,1
XI-IATI-EC_INTPA-2023-PC-25538,2023,29624400,0,0
XI-IATI-EC_INTPA-2019-ACT-D-40019-00,2019,39879000,0,0
XI-IATI-EC_INTPA-2020-ACT-D-38966-00,2020,22788000,0,0
XI-IATI-EC_INTPA-2020-ACT-D-40118-00,2020,34182000,0,0
XI-IATI-EC_INTPA-2019-PCC-410047,2023,0,10986444.413496003,3
XI-IATI-EC_INTPA-2019-PCC-410047,2020,0,3418200,3
XI-IATI-EC_INTPA-2019-PCC-410047,2019,17091000,0,0
XI-IATI-EC_INTPA-2014-ACT-D-25027-00,2020,3418200,0,0
XI-IATI-EC_INTPA-2014-ACT-D-25027-00,2014,68364000,0,0
XI-IATI-EC_INTPA-2014-ACT-D-25027-00,2022,-152985.13011,0,0
XI-IATI-EC_INTPA-2014-ACT-D-25027-00,2021,-437847.4926,0,0
XI-IATI-EC_INTPA-2023-ACT-60734,2023,35321400,0,0
XI-IATI-EC_INTPA-2019-PCC-409406,2019,22788000,0,0
XI-IATI-EC_INTPA-2021-PCC-428633,2021,22788000,0,0
