iatiidentifier,finance_type,finance_type_name,flow_type,flow_type_name,tied_status,collaboration_type,collaboration_type_name,hierarchy
XI-IATI-EC_NEAR-2022-PC-21806,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-23492,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-22447,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-22453,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-23690,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-22151,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-22257,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-26221,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-23854,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-23151,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2024-PC-26216,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2015-ACT-D-37735-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2016-ACT-D-39601-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2017-ACT-D-40316-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2017-ACT-D-40548-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2019-ACT-D-42137-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2020-ACT-D-42602-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2019-ACT-D-42240-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2021-ACT-61727,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2020-ACT-D-42575-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2021-ACT-62606,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2023-ACT-61816,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2022-ACT-60900,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2022-ACT-60901,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2019-PCC-411975,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2018-PCC-399610,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2017-PCC-394566,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2016-PCC-380129,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2016-PCC-380130,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2017-PCC-394816,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2020-PCC-420528,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2020-PCC-420275,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-430372,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-23142,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-24488,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PCC-430729,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-19257,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-19626,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-28407,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-24994,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-26322,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-26324,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-25371,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2016-ACT-D-39842-01,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2014-ACT-D-37371-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2017-ACT-D-40260-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2017-ACT-D-40313-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2016-ACT-D-39372-02,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2011-ACT-D-22775-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2021-ACT-61868,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2021-ACT-61066,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2019-ACT-D-42126-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2019-ACT-D-41950-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2017-ACT-D-40759-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2017-ACT-D-40761-01,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2018-ACT-D-41398-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2021-ACT-61137,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2018-ACT-D-41290-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2021-ACT-61068,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2022-ACT-61027,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2023-ACT-62340,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2018-ACT-D-41151-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2020-ACT-D-42278-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2020-ACT-D-42291-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2022-ACT-61400,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2022-ACT-60561,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2022-ACT-61199,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2019-PCC-414058,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2019-PCC-413828,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2017-PCC-394764,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2018-PCC-404157,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-428889,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-428890,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-423852,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-428962,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-428965,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-430122,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-428959,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-427905,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-423450,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2017-PCC-394871,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PC-7220,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2020-PCC-416795,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-415259,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-415264,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2020-PCC-416748,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-417640,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2020-PCC-421661,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2020-PCC-416324,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PC-4855,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-424895,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-425620,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-429045,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-17755,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-24235,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-23356,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2020-PCC-415186,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-13415,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2020-PCC-414985,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PC-2265,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-22869,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-23718,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-10234,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-20176,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-29638,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-29284,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-29639,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-22338,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-26509,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-25026,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-26205,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-26206,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-26487,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-21871,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-26474,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-25712,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2024-PC-36873,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2024-PC-16109,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2024-PC-26165,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2015-ACT-D-37894-03,110,Standard grant,10,ODA,4,1,Bilateral,1
XI-IATI-EC_NEAR-2023-ACT-60844,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2023-ACT-60862,110,Standard grant,50,Other flows,5,1,Bilateral,1
XI-IATI-EC_NEAR-2023-ACT-61597,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2020-ACT-D-42145-06,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2023-PC-34044,110,Standard grant,10,ODA,4,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-25995,110,Standard grant,10,ODA,4,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-25842,110,Standard grant,10,ODA,4,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-25328,110,Standard grant,10,ODA,4,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-25094,110,Standard grant,10,ODA,4,1,Bilateral,2
XI-IATI-EC_NEAR-2024-PC-26711,110,Standard grant,10,ODA,4,1,Bilateral,2
XI-IATI-EC_NEAR-2020-ACT-D-42747-06,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2019-ACT-D-41263-03,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2023-ACT-61594,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2022-ACT-60915,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2019-PCC-415500,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2020-PCC-421250,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2020-PCC-419152,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2015-ACT-D-38144-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2021-ACT-62648,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2020-ACT-D-42924-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2023-ACT-60518,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2023-PC-22941,110,Standard grant,10,ODA,4,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-26649,110,Standard grant,10,ODA,4,1,Bilateral,2
XI-IATI-EC_NEAR-2024-PC-25269,110,Standard grant,10,ODA,4,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-430625,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-18169,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-31959,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2016-ACT-D-39803-06,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2016-ACT-D-39806-09,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2015-ACT-D-38444-04,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2021-ACT-60872,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2021-ACT-61585,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2021-ACT-60875,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2024-ACT-62417,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2018-PCC-397293,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2019-PCC-407821,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2018-PCC-395584,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-18779,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-29296,110,Standard grant,10,ODA,4,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-26113,110,Standard grant,10,ODA,4,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-25802,110,Standard grant,10,ODA,4,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-25764,110,Standard grant,10,ODA,4,1,Bilateral,2
XI-IATI-EC_NEAR-2024-PC-37108,110,Standard grant,10,ODA,4,1,Bilateral,2
XI-IATI-EC_NEAR-2024-PC-25804,110,Standard grant,10,ODA,4,1,Bilateral,2
XI-IATI-EC_NEAR-2022-ACT-60730,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2023-PC-23862,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-21815,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2015-ACT-D-38422-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2017-ACT-D-40562-01,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2017-ACT-D-40695-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2017-ACT-D-40704-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2017-ACT-D-40445-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2016-ACT-D-39506-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2015-ACT-D-38720-00,110,Standard grant,10,ODA,3,1,Bilateral,1
XI-IATI-EC_NEAR-2021-ACT-61082,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2020-ACT-D-42859-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2019-ACT-D-41859-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2019-ACT-D-41860-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2019-ACT-D-41891-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2023-ACT-62422,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2019-PCC-410052,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2019-PCC-404352,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2019-PCC-404799,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2018-PCC-403150,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2019-PCC-407099,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2019-PCC-411467,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2018-PCC-404297,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2018-PCC-404376,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2018-PCC-404417,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2018-PCC-403140,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-427970,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-428148,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-428768,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-414053,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2020-PCC-416672,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2020-PCC-420597,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PC-8877,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-426850,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-423254,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-430183,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2020-PCC-418579,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PCC-428588,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-22976,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PCC-425501,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2021-PC-3558,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2020-PCC-417245,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-15378,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-23457,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-20298,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-31718,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-31719,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-31722,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-30456,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-30872,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-32512,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-30873,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2024-PC-39790,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2024-PC-38097,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2024-PC-38100,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-37347,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2024-PC-32056,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2024-PC-27731,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2016-ACT-D-39747-07,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2023-ACT-61599,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2017-PCC-394632,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-24561,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-25711,110,Standard grant,10,ODA,4,1,Bilateral,2
XI-IATI-EC_NEAR-2016-ACT-D-39569-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2022-ACT-60707,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2022-ACT-61256,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2023-ACT-61827,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2021-ACT-62782,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_NEAR-2017-PCC-385741,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-15302,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2022-PC-19078,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-34368,110,Standard grant,21,Non-export credit OOF,5,1,Bilateral,2
XI-IATI-EC_NEAR-2023-PC-26460,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_NEAR-2024-PC-41992,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-103985-101,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-103986-101,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-202328-101,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-202377-101,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-202462-101,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-202468-101,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-202697-101,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-202893-104,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-202990-101,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-202990-103,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-202991-102,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-203001-101,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-203100-104,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-203213-101,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-203213-102,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-203396-102,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-203413-102,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-203536-101,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-203536-113,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-203585-101,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-203766-109,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-203766-111,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-203766-112,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-203811-101,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-204024-107,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-204179-101,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-204288-102,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-205145-102,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-205145-104,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-GOV-1-301596-404,,,,,5,,,2
GB-1-114506-106,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-113707-102,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-113963-102,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-114086-101,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-GOV-3-PSA-NPK-200029,110,Standard grant,10,ODA,5,,,0
GB-1-201375-102,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-201375-106,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-201564-101,110,Standard grant,10,ODA,5,1,Bilateral,2
GB-1-201629-108,110,Standard grant,10,ODA,5,1,Bilateral,2
FI-3-2014-2005050123,110,Standard grant,10,ODA,5,1,Bilateral,0
FI-3-2014-2002023052,110,Standard grant,10,ODA,5,1,Bilateral,0
FI-3-2014-2008080028,110,Standard grant,10,ODA,5,1,Bilateral,0
FI-3-2014-2014140714,110,Standard grant,10,ODA,5,1,Bilateral,0
FI-3-2014-2000003078,110,Standard grant,10,ODA,5,1,Bilateral,0
FI-3-2014-2013130107,110,Standard grant,10,ODA,5,1,Bilateral,0
FI-3-2014-2013130132,110,Standard grant,10,ODA,5,1,Bilateral,0
FI-3-2014-2012000151,110,Standard grant,10,ODA,5,1,Bilateral,0
