iatiidentifier,finance_type,finance_type_name,flow_type,flow_type_name,tied_status,collaboration_type,collaboration_type_name,hierarchy
46002-P-TZ-KA0-007,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TZ-K00-018,,,,,,2,Multilateral (inflows),1
46002-P-TZ-HAA-004,,,,,,2,Multilateral (inflows),1
46002-P-TZ-K00-019,,,,,,2,Multilateral (inflows),1
46002-P-TZ-K00-020,,,,,,2,Multilateral (inflows),1
46002-P-TN-HZ0-005,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TN-IAZ-003,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TN-IAZ-002,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TN-HA0-004,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TN-HAA-030,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TN-IZ0-001,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TN-IZ0-006,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
DE-1-201265115,110,Standard grant,10,ODA,3,1,Bilateral,1
DE-1-201270040,110,Standard grant,10,ODA,3,1,Bilateral,1
46002-P-TN-KA0-003,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TN-IZ0-008,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TN-HZ0-002,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TN-I00-012,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TN-K00-018,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-TN-I00-022,,,,,,2,Multilateral (inflows),1
46002-P-UG-K00-009,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
DE-1-201070259,110,Standard grant,10,ODA,3,1,Bilateral,1
46002-P-UG-K00-006,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-UG-E00-012,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
DE-1-201165828,110,Standard grant,10,ODA,3,1,Bilateral,1
BJ-IFU-6201001076902-RSG0123375-29295,110,Standard grant,10,ODA,5,,,0
BJ-IFU-6200901944209-RSG0123375-29295,110,Standard grant,10,ODA,5,,,0
BJ-IFU-6201001843703-RGS0123375-29295,110,Standard grant,10,ODA,5,,,0
46002-P-ZW-KZ0-001,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-ZW-AA0-021,,,,,,2,Multilateral (inflows),1
46002-P-ZW-I00-004,,,,,,2,Multilateral (inflows),1
46002-P-ZW-AA0-024,,,,,,2,Multilateral (inflows),1
46002-P-ZM-K00-002,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-ZM-KA0-001,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-ZM-IZ0-002,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
46002-P-ZM-K00-003,421,Standard loan,10,ODA,5,2,Multilateral (inflows),1
