iatiidentifier,country,percentage
XI-IATI-CWSEC-Q0501,NG,16.66
XI-IATI-CWSEC-Q0501,PK,16.66
XI-IATI-CWSEC-Q0501,LK,16.66
XI-IATI-CWSEC-Q0501,MU,16.66
XI-IATI-CWSEC-Q0502,MU,50
XI-IATI-CWSEC-Q0503,NU,16.66
XI-IATI-CWSEC-Q0503,WS,16.66
XI-IATI-CWSEC-Q0503,VU,16.66
XI-IATI-CWSEC-Q0503,NZ,16.66
XI-IATI-CWSEC-Q0601,GB,50
XI-IATI-CWSEC-Q0601,BZ,50
XI-IATI-CWSEC-Q0701,NA,50
XI-IATI-CWSEC-Q0801,BD,20
XI-IATI-CWSEC-Q0801,PK,20
XI-IATI-CWSEC-Q0802,GB,25
XI-IATI-CWSEC-Q0802,KI,25
XI-IATI-CWSEC-Q0901,KN,25
XI-IATI-CWSEC-Q0901,CY,25
XI-IATI-CWSEC-Q1101,GB,50
XI-IATI-CWSEC-Q1203,SZ,100
XI-IATI-CWSEC-Q1303,BD,33.33
XI-IATI-CWSEC-Q1303,PK,33.33
XI-IATI-CWSEC-Q0603,KE,10
XI-IATI-CWSEC-Q0603,GB,10
XI-IATI-CWSEC-Q0603,LK,10
XI-IATI-CWSEC-Q0603,RW,10
XI-IATI-CWSEC-Q0603,NA,10
XI-IATI-CWSEC-Q0603,PG,10
XI-IATI-CWSEC-Q0603,SZ,10
XI-IATI-CWSEC-Q0603,GH,10
XI-IATI-CWSEC-Q0603,TZ,10
XI-IATI-CWSEC-Q0803,GB,50
XI-IATI-CWSEC-Q1001,MU,7.14
XI-IATI-CWSEC-Q1001,LS,7.14
XI-IATI-CWSEC-Q1001,MV,7.14
XI-IATI-CWSEC-Q1001,SC,7.14
XI-IATI-CWSEC-Q1001,FJ,7.14
XI-IATI-CWSEC-Q1001,NA,7.14
XI-IATI-CWSEC-Q1001,LK,7.14
XI-IATI-CWSEC-Q1001,BZ,7.14
XI-IATI-CWSEC-Q1001,UG,7.14
XI-IATI-CWSEC-Q1001,GD,7.14
XI-IATI-CWSEC-Q1001,SB,7.14
XI-IATI-CWSEC-Q1001,ZA,7.14
XI-IATI-CWSEC-Q1001,CM,7.14
XI-IATI-CWSEC-R11P04,FJ,50
XI-IATI-CWSEC-R11P05,GY,50
XI-IATI-CWSEC-R11P06,TT,12.5
XI-IATI-CWSEC-R11P06,BW,12.5
XI-IATI-CWSEC-R11P06,SZ,12.5
XI-IATI-CWSEC-R11P06,UG,12.5
XI-IATI-CWSEC-R11P06,MV,12.5
XI-IATI-CWSEC-R11P06,VU,12.5
XI-IATI-CWSEC-R11P07,LS,25
XI-IATI-CWSEC-R11P07,BD,25
XI-IATI-CWSEC-R11P09,ZA,25
XI-IATI-CWSEC-R11P09,KE,25
XI-IATI-CWSEC-R11P09,GH,25
XI-IATI-CWSEC-R11P09,GB,25
XI-IATI-CWSEC-R12P01,KE,7.14
XI-IATI-CWSEC-R12P01,GB,7.14
XI-IATI-CWSEC-R12P01,MY,7.14
XI-IATI-CWSEC-R12P01,LC,7.14
XI-IATI-CWSEC-R12P01,GH,7.14
XI-IATI-CWSEC-R12P01,NA,7.14
XI-IATI-CWSEC-R12P01,IN,7.14
XI-IATI-CWSEC-R12P01,JM,7.14
XI-IATI-CWSEC-R12P01,PK,7.14
XI-IATI-CWSEC-R12P01,GM,7.14
XI-IATI-CWSEC-R12P01,SL,7.14
XI-IATI-CWSEC-R12P01,BS,7.14
XI-IATI-CWSEC-R12P01,PG,7.14
XI-IATI-CWSEC-R21P01,SB,20
XI-IATI-CWSEC-R21P01,BS,20
XI-IATI-CWSEC-R21P01,GB,20
XI-IATI-CWSEC-R21P01,LK,20
XI-IATI-CWSEC-R21P01,BB,20
XI-IATI-CWSEC-R22P01,MV,25
XI-IATI-CWSEC-R22P01,KN,25
XI-IATI-CWSEC-R22P01,MW,25
XI-IATI-CWSEC-R31P01,AG,50
XI-IATI-CWSEC-R32P01,NG,20
XI-IATI-CWSEC-R32P01,SC,20
XI-IATI-CWSEC-R32P01,MU,20
XI-IATI-CWSEC-R43P01,KE,20
XI-IATI-CWSEC-R43P01,VC,20
XI-IATI-CWSEC-R43P01,BD,20
XI-IATI-CWSEC-R43P01,SG,20
