iatiidentifier,budget_orig,n_budget_lines,budget_ccy
44000-P154702,-568973758.72,4,USD
44000-P154821,-943518556.62,4,USD
44000-P154981,-462219194.28,114,USD
44000-P155024,-148570031.5,4,USD
44000-P155066,-6897687.42,4,USD
44000-P155118,-9524672.4,4,USD
44000-P155259,-134538333.28,4,USD
44000-P155425,-72039813.86,4,USD
44000-P155480,-415768098,4,USD
44000-P155540,-4149630,4,USD
44000-P155553,-88808086.08,4,USD
44000-P155605,-91094227.2,4,USD
44000-P155656,-676498772.22,4,USD
44000-P155694,-341921726.46,4,USD
44000-P155824,-90042147.04,4,USD
44000-P155920,-55064312.28,4,USD
44000-P155962,-659257876.32,4,USD
44000-P156444,-88466832.92,4,USD
44000-P156629,-63850311.64,4,USD
44000-P156761,-16886866.04,4,USD
44000-P156858,-305009328.12,114,USD
44000-P156963,-47178702.54,4,USD
44000-P157060,-174384414.66,4,USD
44000-P157207,-651732460.66,4,USD
44000-P157224,-237800036.78,4,USD
44000-P157343,-295876309.2,4,USD
44000-P157404,-263664927.42,4,USD
44000-P157405,-165958001.54,4,USD
44000-P157406,114198122.46,4,USD
44000-P157469,-32415931.56,4,USD
44000-P157489,-125846113.36,100,USD
44000-P157804,-111680085.16,4,USD
44000-P158111,-869898967.94,4,USD
44000-P158140,-451368659.76,4,USD
44000-P158463,-106300056.06,4,USD
44000-P158520,-1254552228.6,4,USD
44000-P158698,-150184934.46,4,USD
44000-P158739,-1239021817.14,4,USD
44000-P159010,-9679176,4,USD
44000-P159023,-111363888.4,4,USD
44000-P159263,-11131280,36,USD
44000-P159351,-216691504.98,76,USD
44000-P159508,-241573433.34,4,USD
44000-P159547,-179503490.94,4,USD
44000-P159669,-253585397.16,4,USD
44000-P159710,-283942619.72,62,USD
44000-P159774,-43539747.42,4,USD
44000-P159956,-55873422.9,4,USD
44000-P159969,-101213050.98,4,USD
44000-P160236,-220362378.62,4,USD
44000-P160480,-154184043.44,4,USD
44000-P160544,-205623480,4,USD
44000-P160592,-50826900,4,USD
44000-P160594,2879263.2399999984,116,USD
44000-P160628,-17051127.78,4,USD
44000-P160667,-240290215.26,90,USD
44000-P160866,-124659660,4,USD
44000-P161136,-390299288.6,4,USD
44000-P161167,-1021763877.34,4,USD
44000-P161184,-309826606.82,6,USD
44000-P161475,-269309559.78,4,USD
44000-P161483,-856023894.44,4,USD
44000-P161562,-297446766.76,84,USD
44000-P161619,-107998987.66,4,USD
44000-P161642,-754792909.68,100,USD
44000-P161794,-10193349.24,4,USD
44000-P161796,-104694140.5,4,USD
44000-P162071,-218837479.98,4,USD
44000-P162111,-41394988,4,USD
44000-P162279,-90640660,4,USD
44000-P162452,-39904150,4,USD
44000-P162671,-216845825.28,4,USD
44000-P162858,-1196898855,30,USD
44000-P163057,-52664784,4,USD
44000-P163283,-143776587.66,4,USD
44000-P163284,-193786117.76,4,USD
44000-P163285,-104973981.04,4,USD
44000-P163318,-226901247.34,4,USD
44000-P163586,-66795662.5,4,USD
44000-P163657,-307827656.84,4,USD
44000-P163939,-19602552.58,58,USD
44000-P163966,-39225419.34,32,USD
44000-P163968,-132623660,4,USD
44000-P163973,-296461606.78,4,USD
44000-P163983,-43213037.5,4,USD
44000-P164079,-1305998397.8,6,USD
44000-P164137,-90322936,4,USD
44000-P164201,-317606212.34,4,USD
44000-P164289,2936750,154,USD
44000-P164321,-10232942,22,USD
44000-P164442,759702,154,USD
44000-P164525,-324227225.62,4,USD
44000-P164545,-61743984,4,USD
44000-P164575,-152088700.86,4,USD
44000-P164588,-223414820.56,4,USD
44000-P164882,-175157304,4,USD
44000-P165056,-139490978,100,USD
44000-P165425,-2572551.9799999967,148,USD
44000-P165631,-75252769.36,4,USD
44000-P165717,-224926011.82,4,USD
44000-P165928,-27254703.8,4,USD
44000-P166019,-189750000.01999998,178,USD
44000-P166115,-26392613.14,4,USD
44000-P166124,-206967530.86,4,USD
44000-P166159,-82761162.42,4,USD
44000-P166298,-180124943.3,4,USD
44000-P166303,-694861999.32,84,USD
44000-P166322,-171524089.64,24,USD
