iatiidentifier,budget_orig,n_budget_lines,budget_ccy
XM-OCHAS-HPC6770-1258,200000,1,USD
XM-OCHAS-HPC6770-1311,16000000,1,USD
XM-OCHAS-HPC6770-1518,2550000,1,USD
XM-OCHAS-HPC6770-1605,13333333,1,USD
XM-OCHAS-HPC6770-1606,5333333,1,USD
XM-OCHAS-HPC6770-1609,18666667,1,USD
XM-OCHAS-HPC6770-1610,18666667,1,USD
XM-OCHAS-HPC6770-1612,13333333,1,USD
XM-OCHAS-HPC6770-1613,5333333,1,USD
XM-OCHAS-HPC6770-1614,16000000,1,USD
XM-OCHAS-HPC6770-1641,3802085,1,USD
XM-OCHAS-HPC6770-1642,165883,2,USD
XM-OCHAS-HPC6770-1789,2640000,1,USD
XM-OCHAS-HPC6770-2174,13333333,1,USD
XM-OCHAS-HPC6770-2176,8666667,1,USD
XM-OCHAS-HPC6770-2186,8000000,1,USD
XM-OCHAS-HPC6770-2370,1650000,1,USD
XM-OCHAS-HPC6770-2371,1950000,1,USD
XM-OCHAS-HPC6770-2372,25000000,1,USD
XM-OCHAS-HPC6770-2373,4494949,1,USD
XM-OCHAS-HPC6770-2374,500000,1,USD
XM-OCHAS-HPC6770-2375,2272727,1,USD
XM-OCHAS-HPC6770-2376,4775784,1,USD
XM-OCHAS-HPC6770-2377,5000000,1,USD
XM-OCHAS-HPC6770-2378,4000000,1,USD
XM-OCHAS-HPC6770-2379,6021353,1,USD
XM-OCHAS-HPC6770-2380,2280000,1,USD
XM-OCHAS-HPC6770-2381,2500000,1,USD
XM-OCHAS-HPC6770-2382,1200000,1,USD
XM-OCHAS-HPC6770-2383,3500000,1,USD
XM-OCHAS-HPC6770-2384,2076808,1,USD
XM-OCHAS-HPC6770-2385,700000,1,USD
XM-OCHAS-HPC6770-2386,35000000,1,USD
XM-OCHAS-HPC6770-2387,4000000,1,USD
XM-OCHAS-HPC6770-2389,1500000,1,USD
XM-OCHAS-HPC6770-2390,5435625,1,USD
XM-OCHAS-HPC6770-2391,150000,1,USD
XM-OCHAS-HPC6770-2392,4593192,1,USD
XM-OCHAS-HPC6770-2393,18978647,1,USD
XM-OCHAS-HPC6770-2394,7500000,1,USD
XM-OCHAS-HPC6770-2397,197340909,1,USD
XM-OCHAS-HPC6770-2398,14654327,1,USD
XM-OCHAS-HPC6770-2399,505050,1,USD
XM-OCHAS-HPC6770-2400,2134375,1,USD
XM-OCHAS-HPC6770-2401,9000000,1,USD
XM-OCHAS-HPC6770-2402,10386364,1,USD
XM-OCHAS-HPC6770-2403,51500000,1,USD
XM-OCHAS-HPC6770-2404,1000000,1,USD
XM-OCHAS-HPC6770-2405,1664626,1,USD
XM-OCHAS-HPC6770-2406,20000000,1,USD
XM-OCHAS-HPC6770-2407,29500000,1,USD
XM-OCHAS-HPC6770-2408,3330000,1,USD
XM-OCHAS-HPC6770-2409,18681046,1,USD
XM-OCHAS-HPC6770-2690,67487436,1,USD
XM-OCHAS-HPC6770-2691,55295300,1,USD
XM-OCHAS-HPC6770-2695,53839352,1,USD
XM-OCHAS-HPC6770-2733,67492960,1,USD
XM-OCHAS-HPC6770-2778,360019,1,USD
XM-OCHAS-HPC6770-3198,2649000,1,USD
XM-OCHAS-HPC6770-3206,8000000,2,USD
XM-OCHAS-HPC6770-3209,1000000,1,USD
XM-OCHAS-HPC6770-3662,710000,1,USD
XM-OCHAS-HPC6770-3812,68471,1,USD
