donor_ref,donor,country,year,commit_year,disb_year,cum_commit,total_commit,s1_share,s2_hhi,s2_hhi_net,s3_n_donors,n_activities
44000,EN: World Bank,BF,2022,0,179408037,822950000,1533590226.177218,0.5366166176289271,0.4999634450211567,0.21200605070564654,3,1
44000,EN: World Bank,BF,2023,0,0,822950000,1533896181.283418,0.5365095826181887,0.4997652338309784,0.21192270158983534,3,2
44000,EN: World Bank,BI,2015,25000000,23802516,25000000,25000000,1,1,NA,1,1
44000,EN: World Bank,BJ,2014,20000000,20030555,20000000,20000000,1,1,NA,1,1
44000,EN: World Bank,BJ,2015,19999999.999999996,0,40000000,40000000,1,1,NA,1,1
44000,EN: World Bank,BJ,2016,0,19973720,40000000,40000000,1,1,NA,1,1
44000,EN: World Bank,BJ,2018,15000000,14647950,55000000,91506298.42136025,0.6010515226694099,0.5204228204676125,0.15915988756439636,2,1
44000,EN: World Bank,BJ,2019,100000000,100249004,155000000,198344146.4482979,0.7814699993700276,0.6584507210907267,0.04775536117533574,3,1
44000,EN: World Bank,BJ,2020,150000000,154833905,305000000,355260272.8208439,0.8585254905600157,0.7570810547625998,0.020015036821284138,3,2
44000,EN: World Bank,BJ,2021,100000000,98279536,405000000,405000000,1,1,0,2,1
44000,EN: World Bank,BJ,2022,150000000,143262350,555000000,577788000,0.9605599285551102,0.9242308955813765,0.0015555192355780623,3,1
44000,EN: World Bank,BJ,2023,230000000,143520800,785000000,972730530.686725,0.8070066428837268,0.6686804964534593,0.017420774794996263,5,1
44000,EN: World Bank,BO,2015,200000000,197180858,200000000,448530000,0.44590105455599405,0.5058533917963071,0.3070256413421595,2,1
44000,EN: World Bank,BR,2014,896000000,1015375000,896000000,896000000,1,1,0,2,5
44000,EN: World Bank,BR,2015,350000000,0,1246000000,1246000000,1,1,NA,1,2
44000,EN: World Bank,BR,2016,0,350000000,1246000000,1246000000,1,1,NA,1,2
44000,EN: World Bank,BR,2019,248883034,248883034,1494883034,1494883034,1,1,NA,1,1
44000,EN: World Bank,BR,2020,200000000,0,1694883034,1694883034,1,1,NA,1,1
44000,EN: World Bank,BR,2021,0,200000000,1694883034,1694883034,1,1,NA,1,1
44000,EN: World Bank,BR,2022,635238245,470169601.00000006,2330121279,2434121279,0.9572741091837766,0.9181992218596329,0.0018255017460397926,2,2
44000,EN: World Bank,BR,2023,135238245,135238245,2465359524,2569359524,0.9595229865542164,0.922322750343413,0.0016383886174901052,2,3
44000,EN: World Bank,BS,2021,100000000,100000000,100000000,440000000,0.22727272727272727,0.6487603305785123,0.5971074380165289,2,1
44000,EN: World Bank,BT,2015,20000000,20068048,20000000,56200000,0.35587188612099646,0.5415458264206381,0.41490102708932264,2,1
44000,EN: World Bank,BT,2016,24000000,0,44000000,80200000,0.5486284289276808,0.504729448199949,0.2037362951722937,2,1
44000,EN: World Bank,BT,2017,0,23832725,44000000,80200000,0.5486284289276808,0.504729448199949,0.2037362951722937,2,1
44000,EN: World Bank,BT,2019,30000000,30154971,74000000,154200000,0.4798962386511025,0.5008083224407469,0.27050792256927103,2,1
44000,EN: World Bank,BT,2020,54800000,54861390,128800000,259000000,0.4972972972972973,0.5000146092037984,0.25271000730460186,2,2
44000,EN: World Bank,BT,2021,35000000,34865892,163800000,341091000,0.4802237526056096,0.4537148809422522,0.22310002837563844,3,1
44000,EN: World Bank,BT,2022,52500000,52297423,216300000,441537420,0.4898792043492033,0.4440930239871884,0.20411138913337995,3,1
44000,EN: World Bank,BT,2023,50000000,50154552,266300000,306682244.14303327,0.8683254576544724,0.7713272855127532,0.017338185101904213,2,1
44000,EN: World Bank,BW,2021,250000000,250000000,250000000,250000000,1,1,NA,1,1
44000,EN: World Bank,BW,2022,0,0,250000000,385139797.7914503,0.6491149484774168,0.5444705357188453,0.12312031938200585,2,1
44000,EN: World Bank,BW,2023,150000000,0,400000000,804838774.7630738,0.4969939477850715,0.4108296409816938,0.1638266568467034,3,1
44000,EN: World Bank,CD,2022,250000000,243003420,250000000,250000000,1,1,NA,1,1
44000,EN: World Bank,CD,2023,500000000,500000000,750000000,750000000,1,1,0,2,1
44000,EN: World Bank,CF,2018,25000000,24620149,25000000,81468137.67702232,0.3068684360886173,0.574599601957713,0.4804313648902392,2,1
44000,EN: World Bank,CF,2019,100000000,98401000,125000000,125000000,1,1,NA,1,1
44000,EN: World Bank,CF,2020,75000000,77220544,200000000,321980221.3852052,0.6211561664861626,0.4594178784326452,0.07358289526885992,3,2
44000,EN: World Bank,CF,2021,0,0,200000000,200000000,1,1,NA,1,1
44000,EN: World Bank,CF,2022,0,0,200000000,200000000,1,1,NA,1,1
44000,EN: World Bank,CG,2022,50000000,53807040,50000000,50000000,1,1,NA,1,1
44000,EN: World Bank,CG,2023,80000000,90311,130000000,450868574.12527955,0.2883323599392799,0.5896063796977492,0.5064708299095947,2,1
44000,EN: World Bank,CI,2014,70000000,68349261,70000000,215414947.2408046,0.3249542378400953,0.5612820377002838,0.4556867810100466,2,1
44000,EN: World Bank,CI,2015,100000000,98167063,170000000,315414947.2408046,0.5389725550013739,0.5030377200866702,0.21254630504196126,2,2
44000,EN: World Bank,CI,2016,75000000,72332575,245000000,390414947.2408046,0.6275374488899527,0.5325316017387146,0.13872835197940464,2,1
44000,EN: World Bank,CI,2017,125000000,126942330,370000000,564549278.7565076,0.6553900853703553,0.5482921572628126,0.11875599326105102,2,1
44000,EN: World Bank,CI,2018,100000000,99066240,470000000,470000000,1,1,NA,1,1
44000,EN: World Bank,CI,2020,200000000,196733483,670000000,1038395747.4095039,0.645226063060693,0.5421812187842168,0.12586454633141542,2,1
44000,EN: World Bank,CI,2021,300000000,300345840,970000000,1373537052.8758202,0.7062059213976636,0.5850417640389188,0.08631496062179583,2,1
44000,EN: World Bank,CI,2022,400000000,429183400,1370000000,1949341259.5215397,0.702801519902299,0.5822569129493651,0.08832693657238355,2,1
44000,EN: World Bank,CI,2023,300000000,310271640,1670000000,2286740201.4355707,0.7302972147651957,0.6060736142572134,0.07273959236341099,2,1
44000,EN: World Bank,CL,2015,100000000,0,100000000,320000000,0.3125,0.5703125,0.47265625,2,1
44000,EN: World Bank,CL,2016,0,100000000,100000000,520000000,0.19230769230769232,0.6893491124260356,0.6523668639053255,2,1
44000,EN: World Bank,CM,2017,200000000,206170574,200000000,516582741.11420155,0.3871596630747402,0.35560705455489466,0.2057144498427483,3,1
44000,EN: World Bank,CM,2019,200000000,200402775,400000000,1042159035.5665189,0.3838185788818302,0.37868299657510496,0.23136629508023726,3,1
44000,EN: World Bank,CM,2021,100000000,98310520,500000000,500000000,1,1,NA,1,1
44000,EN: World Bank,CM,2022,100000000,107124660,600000000,1533692811.5784092,0.39121263102387915,0.4007424341618341,0.24769511148920828,3,1
44000,EN: World Bank,CN,2017,400000000,400000000,400000000,400000000,1,1,NA,1,2
44000,EN: World Bank,CO,2014,1400000000,1200000000,1400000000,2200000000,0.6363636363636364,0.5371900826446281,0.1322314049586777,2,2
44000,EN: World Bank,CO,2015,1400000000,900704760,2800000000,4343439935.739236,0.6446503327836284,0.5069835630055185,0.09140951144747567,4,3
