iatiidentifier,reportingorg_ref,reportingorg_narrative,url,format,category_code,domain
DE-1-200970418,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.kfw-entwicklungsbank.de/International-financing/KfW-Development-Bank/Evaluations/Results/,application/pdf,A05,www.kfw-entwicklungsbank.de
DE-1-200970418,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.kfw-entwicklungsbank.de/Internationale-Finanzierung/KfW-Entwicklungsbank/Projekte/Projektdatenbank/index.jsp,text/html,A01,www.kfw-entwicklungsbank.de
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://www.afdb.org/sites/default/files/documents/environmental-and-social-assessments/2023-dbn-esm-policy_1.pdf,application/pdf,A01,www.afdb.org
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://www.afdb.org/sites/default/files/documents/environmental-and-social-assessments/2023-dbn-esm-policy_1.pdf,application/pdf,A02,www.afdb.org
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://www.afdb.org/sites/default/files/documents/environmental-and-social-assessments/2023-dbn-esm-policy_1.pdf,application/pdf,A03,www.afdb.org
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://www.afdb.org/sites/default/files/documents/projects-and-operations/namibie_-_banque_de_development_de_la_namibie-_adbbdwp2024288add.1-par-decembre_2024_2.pdf,application/pdf,A01,www.afdb.org
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://www.afdb.org/sites/default/files/documents/projects-and-operations/namibie_-_banque_de_development_de_la_namibie-_adbbdwp2024288add.1-par-decembre_2024_2.pdf,application/pdf,A02,www.afdb.org
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://www.afdb.org/sites/default/files/documents/projects-and-operations/namibie_-_banque_de_development_de_la_namibie-_adbbdwp2024288add.1-par-decembre_2024_2.pdf,application/pdf,A02,www.afdb.org
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://www.afdb.org/sites/default/files/documents/projects-and-operations/namibie_-_banque_de_development_de_la_namibie-_adbbdwp2024288add.1-par-decembre_2024_2.pdf,application/pdf,A03,www.afdb.org
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://www.afdb.org/sites/default/files/documents/projects-and-operations/namibie_-_banque_de_development_de_la_namibie-_adbbdwp2024288add.1-par-decembre_2024_2.pdf,application/pdf,A04,www.afdb.org
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://www.afdb.org/sites/default/files/documents/projects-and-operations/namibie_-_banque_de_development_de_la_namibie-_adbbdwp2024288add.1-par-decembre_2024_2.pdf,application/pdf,A05,www.afdb.org
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://www.afdb.org/sites/default/files/documents/projects-and-operations/namibie_-_banque_de_development_de_la_namibie-_adbbdwp2024288add.1-par-decembre_2024_2.pdf,application/pdf,A08,www.afdb.org
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://mapafrica.afdb.org/en/projects/46002-P-NA-HAA-006,text/html,A12,mapafrica.afdb.org
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://www.afdb.org/sites/default/files/documents/projects-and-operations/namibie_-_development_bank_of_namibia-_adbbdwp2024288add.1-par-decembre_2024.pdf,application/pdf,A01,www.afdb.org
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://www.afdb.org/sites/default/files/documents/projects-and-operations/namibie_-_development_bank_of_namibia-_adbbdwp2024288add.1-par-decembre_2024.pdf,application/pdf,A02,www.afdb.org
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://www.afdb.org/sites/default/files/documents/projects-and-operations/namibie_-_development_bank_of_namibia-_adbbdwp2024288add.1-par-decembre_2024.pdf,application/pdf,A02,www.afdb.org
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://www.afdb.org/sites/default/files/documents/projects-and-operations/namibie_-_development_bank_of_namibia-_adbbdwp2024288add.1-par-decembre_2024.pdf,application/pdf,A03,www.afdb.org
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://www.afdb.org/sites/default/files/documents/projects-and-operations/namibie_-_development_bank_of_namibia-_adbbdwp2024288add.1-par-decembre_2024.pdf,application/pdf,A04,www.afdb.org
46002-P-NA-HAA-006,XM-DAC-46002,African Development Bank,https://www.afdb.org/sites/default/files/documents/projects-and-operations/namibie_-_development_bank_of_namibia-_adbbdwp2024288add.1-par-decembre_2024.pdf,application/pdf,A05,www.afdb.org
