iatiidentifier,commitment_usd_full,disbursement_usd_full,n_disb_years_full
46002-P-CI-IZ0-001,128829804.97879735,127470131.06737527,1
46002-P-CI-IZ0-004,25539491.190075494,25539490.078070864,3
46002-P-CI-KA0-009,49134331.515703,49134331.515703,1
46002-P-CI-KA0-010,86632772.10549942,81971299.35029095,1
46002-P-CI-KA0-011,35141305.46631643,32470318.996158164,1
46002-P-CI-KA0-012,87213696.54749684,85230966.19641529,1
46002-P-CI-KA0-013,37398941.91403119,35361293.43768096,1
46002-P-CI-KA0-014,35061328.425143786,34759099.818689,1
46002-P-CM-AA0-015,72512637.15966895,38790286.92431724,1
46002-P-CM-FA0-011,85472212.71292517,86332790.95533404,1
46002-P-CM-H00-010,2712206.4206062597,651737.2767006552,1
46002-P-CM-K00-009,171906702.11972493,166844078.3990388,1
46002-P-CM-K00-010,100267253.55197334,99969911.5413876,1
46002-P-CM-KA0-005,33791777.9326749,33149580.896302857,2
46002-P-CM-KA0-011,207200341.11420155,207165545.03822178,1
46002-P-CM-KA0-015,92141992.33259246,87513001.34118609,1
46002-P-CM-KF0-006,93687085.30024804,87274342.36452869,1
46002-P-CM-KF0-007,16842801.871964872,4693241.399964253,3
46002-P-CV-A00-003,11394006.091615621,11106860.254920283,1
46002-P-CV-GB0-005,28010462.71597639,6914072.893259761,1
46002-P-CV-K00-002,3390258.0257578245,3136024.02743668,1
46002-P-CV-K00-003,3390258.0257578245,3326942.6246292754,1
46002-P-CV-K00-004,5725426.569045317,6460235.663615887,2
46002-P-CV-K00-005,6780516.051515649,6805329.038102433,2
46002-P-CV-K00-006,23289537.85358696,23876317.59665965,1
46002-P-CV-K00-007,14027288.647924418,14380706.08225851,1
46002-P-CV-K00-009,9341116.778115751,9344161.311189072,1
46002-P-CV-K00-010,29111922.316983704,29845396.9924343,2
46002-P-CV-K00-011,17349460.243800238,18205660.1171402,1
46002-P-CV-K00-013,23048672.34783505,22240862.18329905,1
46002-P-CV-K00-015,23048672.34783505,21557945.151049558,1
46002-P-CV-K00-016,34573008.51497206,33251789.622284576,1
46002-P-CV-K00-019,21314736.66509811,20136794.660208,1
46002-P-CV-K00-020,20465601.357188094,0,0
46002-P-CV-KA0-003,4068409.372300507,4601183.417027503,1
46002-P-CV-KA0-005,17091009.130642917,17330540.1087866,1
46002-P-CV-KA0-006,17243276.277550936,16020751.48459399,1
46002-P-CV-KA0-007,22788012.169670213,22656800.789794512,1
46002-P-CV-KA0-008,22788012.169670213,22419692.40866984,1
46002-P-CV-KA0-009,22788012.169670213,21911042.789124597,1
46002-P-DJ-K00-001,3281769.768933574,3557195.2937794193,1
46002-P-DJ-K00-003,1356103.2103031299,126617.25478602726,2
46002-P-DJ-KF0-010,6373685.088424711,876405.8528879951,3
46002-P-DZ-K00-007,1025460547.7029647,959506988.4202347,1
46002-P-EG-BG0-003,169035624.23464927,0,0
46002-P-EG-FA0-005,260241903.61632043,254640702.94966012,1
46002-P-EG-FA0-008,96000346.67422469,90725330.23147327,1
46002-P-EG-HZ0-001,616168395.6349751,441992337.52866465,1
46002-P-EG-IBZ-001,115705778.53207253,16274828.961482603,1
46002-P-EG-K00-009,495869244.664073,491498452.50994366,1
46002-P-EG-K00-010,493210940.8508463,497658911.08980525,1
46002-P-EG-K00-011,500001183.64756507,483228407.9348312,1
46002-P-EG-K00-016,228592290.26846778,129375602.13016693,1
46002-P-EG-K00-017,268584352.84720653,271965285.01899225,1
46002-P-ET-AAZ-002,43707206.468069874,2515862.55622743,2
46002-P-ET-IZ0-002,7567055913.491466,244098577.85456342,3
46002-P-ET-K00-006,81366192.6181878,78823499.09886943,1
46002-P-ET-K00-010,98453093.06800723,101206508.59023578,1
46002-P-ET-K00-011,1779424388.431355,224510644.31175733,2
46002-P-ET-K00-015,120232110.6254755,120232110.6254755,2
46002-P-ET-K00-016,162732385.2363756,162732385.2363756,1
46002-P-ET-KF0-007,4325018.6125165615,1474940.229751006,4
46002-P-GA-K00-003,67805160.5151565,65819805.16865178,1
46002-P-GA-K00-013,116932530.8140552,113030157.18592313,1
46002-P-GA-K00-015,58175388.46254511,53532929.80674174,1
46002-P-GA-KA0-001,119226619.42455119,99006283.59915216,1
46002-P-GA-KA0-005,232701553.85018045,211854714.0859797,1
46002-P-GA-KA0-006,349052330.7752707,340621044.4706926,1
46002-P-GA-KA0-007,116350776.92509022,110411177.89768744,1
46002-P-GH-I00-003,70842831.70623551,17710707.92655888,1
46002-P-GH-K00-008,59646194.70658673,56394527.21495728,1
46002-P-GH-K00-012,94927224.7212191,94717764.53166299,1
46002-P-GH-K00-013,54244128.41212519,54244128.41212519,1
46002-P-GH-K00-018,105801816.3646399,105801816.3646399,2
46002-P-GH-KA0-003,122049288.9272817,124471230.14834414,2
46002-P-GH-KA0-006,47463612.36060955,47463612.36060955,1
46002-P-GH-KA0-008,67127108.91000493,67127108.91000493,1
46002-P-GM-J00-002,2910197.489310517,2904482.870382299,3
46002-P-GM-K00-010,827222.9582849093,827140.3444773376,1
46002-P-GM-K00-011,2712206.4206062597,2550649.5734377354,5
46002-P-GM-K00-013,13561032.103031298,13561032.103031298,1
46002-P-GM-KA0-009,6780516.051515649,6780516.051515649,1
46002-P-GM-KA0-011,13561032.103031298,6780516.051515649,1
46002-P-GN-KA0-005,8665499.513837,8665499.513837,1
46002-P-GN-KA0-006,14266205.772388926,14244892.739016583,2
46002-P-GN-KZ0-002,32546477.04727512,32546477.04727512,1
46002-P-GQ-K00-002,11175175.784878636,11476077.105316332,1
46002-P-GW-A00-010,6780516.051515649,6780515.115804435,2
46002-P-GW-IB0-005,8078306.823775745,8027025.279119944,1
46002-P-GW-KA0-008,6780516.05151565,6780516.05151565,1
46002-P-GW-KA0-009,6780516.051515649,6780516.051515649,1
46002-P-KE-A00-002,71782238.34327585,69810836.94621831,1
46002-P-KE-AA0-001,32112735.260175183,32703437.19275787,2
46002-P-KE-HB0-009,103719025.54491618,77732832.60126361,3
46002-P-KE-IA0-005,22884241.67386532,385046.9550736568,1
46002-P-KE-K00-004,102546054.77029647,98690913.9457586,2
46002-P-KE-K00-007,219415291.27062804,207296221.1777214,1
46002-P-KE-K00-010,103493586.56752649,92674486.68103234,1
46002-P-KE-K00-012,83917277.8669039,80078573.04039697,1
46002-P-KE-K00-013,208148067.30882677,203688528.0991366,1
46002-P-KE-K00-015,336553372.55270964,0,0
46002-P-KE-KA0-001,65663927.80377731,68726004.91994245,1
46002-P-KE-KA0-002,38090312.622473076,43051235.62700111,2
46002-P-KE-KD0-004,33116040.39560243,32760049.009570025,1
46002-P-KM-K00-006,5424412.841212519,5424412.841212519,2
46002-P-KM-K00-009,20341548.15454695,20341548.15454695,2
46002-P-KM-K00-013,6102464.446364084,6102464.446364084,1
46002-P-KM-K00-014,6916397.593188023,6916397.593188023,1
46002-P-LR-AA0-013,5424412.841212519,5395115.506090937,1
46002-P-LR-K00-020,13764447.584576769,13764447.584576769,1
46002-P-LR-K00-023,16422409.876770902,0,0
46002-P-LR-KA0-004,9492722.47212191,9492722.47212191,2
46002-P-LS-KA0-001,8651938.481733968,8840759.72970151,1
46002-P-LS-KE0-001,10845609.792150062,7859845.865309118,1
46002-P-MA-A00-002,120866865.65221107,126245933.11427747,2
46002-P-MA-A00-003,270959520.0479518,268587868.8295609,2
46002-P-MA-AA0-003,229910350.32214233,223630098.45309308,2
46002-P-MA-AA0-011,129862567.14406021,98730884.1865213,5
46002-P-MA-AA0-023,230169505.86311227,212884005.84751704,1
46002-P-MA-AA0-024,113940060.86191209,28764188.73159599,1
46002-P-MA-DZ0-002,258853897.1287227,286515811.10567164,1
46002-P-MA-E00-004,240051861.72629228,256670414.11323735,1
46002-P-MA-GB0-002,105309789.08526771,113527353.13063207,1
46002-P-MA-GB0-003,95098401.84592769,88398467.50844514,1
46002-P-MA-H00-001,175175297.82060653,174263956.43111607,1
46002-P-MA-H00-004,111497194.43943441,108032694.95678778,1
46002-P-MA-H00-020,138612435.35795024,131074066.05849959,1
46002-P-MA-HA0-001,147147776.89932427,164149683.44482765,1
46002-P-MA-HAZ-002,156966804.54620042,151377707.31766856,1
46002-P-MA-HZ0-003,187374170.60049608,193398172.48819172,2
46002-P-MA-HZ0-006,258145130.24693286,267414757.03376836,2
46002-P-MA-HZ0-011,115243361.71205318,114820856.71820311,1
46002-P-MA-I00-006,95288353.7720689,92155842.26892342,6
46002-P-MA-I00-010,203685064.72002575,183437332.31211486,6
46002-P-MA-I00-012,100494015.63858223,93069891.99994034,1
46002-P-MA-I00-016,137198667.50654662,130494679.72232431,3
46002-P-MA-IA0-008,172337971.7306725,164938811.56539065,1
46002-P-MA-IAD-003,136728073.0315823,43594695.58873187,3
46002-P-MA-IAZ-003,4038172525.972767,89536190.96374187,2
46002-P-MA-IAZ-004,133682299.58489682,136348874.43433544,2
46002-P-MA-IAZ-009,135588672.4156402,34897562.30955226,1
46002-P-MA-IBD-001,141045236.4569363,131319746.76128653,1
46002-P-MA-IBD-008,81697182.91255713,83567111.58152826,2
46002-P-MA-IBD-010,132529865.97631973,136510846.18128118,2
46002-P-MA-IBD-011,134621530.14549634,132512529.13248724,2
46002-P-MA-IBD-012,136661475.5487811,78637119.17891046,4
46002-P-MA-K00-002,197455854.5416575,212863787.13519132,1
46002-P-MA-K00-003,131200467.31316629,144451721.43741518,1
46002-P-MA-K00-004,99203722.11004236,101474349.76885222,1
46002-P-MA-K00-005,77028772.46893507,78791848.0567719,1
46002-P-MA-K00-006,115510362.79829186,119381587.95617618,1
46002-P-MA-K00-010,139284673.74190915,144451721.43741518,1
46002-P-MA-K00-013,198217234.5665284,192430126.68716192,1
46002-P-MA-K00-014,307139974.45101553,292761896.72731614,1
46002-P-MA-K00-019,451564959.3914894,124668875.4649739,1
46002-P-MA-K00-021,303481662.4198035,292619555.4558067,1
46002-P-MA-K00-023,139737227.1350828,129714414.7668791,1
46002-P-MA-K00-028,207143030.63301542,210505271.29522777,1
46002-P-MG-K00-001,47406438.00506369,46413465.087800905,1
46002-P-MG-K00-007,40683096.3090939,41273951.67119379,1
46002-P-MG-K00-010,33902580.25757825,33902580.25757825,1
46002-P-MG-K00-018,40683096.3090939,40683096.3090939,1
46002-P-MG-K00-021,67805160.5151565,67805160.5151565,1
46002-P-MG-KA0-009,16951290.128789123,16951290.128789123,1
46002-P-MG-KA0-012,13520349.006722204,13520349.006722204,1
46002-P-ML-K00-011,11662487.608606918,11969670.765262604,1
46002-P-ML-K00-014,47357396.51237377,48738130.1913326,1
46002-P-ML-K00-015,44751405.94000328,42266355.03866929,2
46002-P-ML-K00-018,7458567.656667215,7400327.349753937,1
46002-P-ML-K00-020,20341548.15454695,21116394.352101352,1
46002-P-ML-KA0-001,54244128.41212519,54244128.41212519,1
46002-P-ML-KA0-003,19803175.180056605,19803175.180056605,1
46002-P-ML-KA0-004,31394602.980443638,31394602.980443638,1
46002-P-ML-KA0-006,20341548.15454695,20341548.15454695,1
46002-P-ML-KA0-007,12204928.892728169,12204928.892728169,1
46002-P-ML-KA0-008,16869923.936170936,16869923.936170936,1
46002-P-ML-KA0-009,48819715.570912674,48819715.570912674,1
46002-P-MR-K00-016,9086759.415085565,9086759.415085565,1
46002-P-MR-K00-017,5424412.841212519,5424412.841212519,1
46002-P-MR-K00-018,10170774.077273475,10170774.077273475,1
46002-P-MU-K00-002,29041929.355159365,26519540.253889646,1
46002-P-MU-K00-004,319947454.3772978,285838042.5328211,3
46002-P-MU-K00-005,170396981.51766938,174735506.41640234,4
46002-P-MU-K00-008,218615666.00262815,207898626.85057235,1
46002-P-MU-K00-009,247771543.20477027,253274615.87698516,1
46002-P-MU-K00-010,239949255.3501662,241423007.37584537,1
46002-P-MW-AA0-040,45944776.76507004,22972388.382535018,2
46002-P-MW-IE0-005,25765960.99575947,25765960.99575947,1
46002-P-MW-K00-002,16273238.52363756,16023954.844475307,1
46002-P-MW-KA0-004,44615795.61897297,44615795.61897297,1
46002-P-MW-KZ0-003,20192376.801413603,19666533.651023116,1
46002-P-MZ-AA0-041,1356103.2103031299,1356103.2103031299,3
46002-P-MZ-AA0-045,11301764.154666284,5650882.077333143,2
46002-P-MZ-K00-001,135546353.95378673,123902867.43955511,1
46002-P-MZ-K00-002,40636355.41837819,41045987.18211246,1
46002-P-MZ-K00-004,81366192.6181878,80519158.49727492,1
46002-P-MZ-K00-007,993291357.4186305,80394163.06056222,2
46002-P-MZ-K00-009,81366192.6181878,81390463.50251625,3
46002-P-MZ-K00-010,26220255.571211018,26220255.571211018,1
46002-P-MZ-K00-011,20341548.15454695,20341548.15454695,1
46002-P-MZ-K00-012,40683096.3090939,40683096.3090939,1
46002-P-MZ-KA0-007,20341548.15454695,20341548.15454695,1
46002-P-NA-HAA-006,89198107.57153106,0,0
46002-P-NA-K00-004,89198107.57153106,103345246.19375731,1
46002-P-NA-K00-005,136770431.6205298,135836518.36773995,1
46002-P-NA-K00-007,178396215.15662315,227452680.8533144,1
46002-P-NA-KA0-002,178396215.15662315,202713080.727468,1
46002-P-NA-KA0-004,119584929.55721876,113486870.99525772,1
46002-P-NE-A00-012,5424412.841212519,5424412.84121252,2
46002-P-NE-K00-007,24409857.785456337,24724067.089138024,1
46002-P-NE-KA0-006,37970889.88848764,38545372.94872439,2
46002-P-NE-KA0-008,29237585.21413548,29241587.35949076,2
46002-P-NE-KA0-010,27122064.206062596,27122064.206062596,1
46002-P-NE-KA0-011,13561032.103031298,13561032.103031298,1
46002-P-NE-KA0-012,40683096.30909389,40683096.30909389,1
46002-P-NE-KA0-013,27122064.206062596,27122064.206062596,1
46002-P-NE-KA0-014,142390837.08182862,142390837.08182862,1
46002-P-NE-KA0-015,108488256.8242504,108488256.82425039,2
46002-P-NG-AAG-016,134000317.21966296,135968450.17744613,2
46002-P-NG-FA0-002,135610321.030313,134438219.2330694,2
46002-P-NG-K00-005,296141976.520429,278471119.6123715,2
46002-P-NG-K00-012,493569960.8764224,501677016.4780102,1
46002-P-NG-K00-013,493210940.8508463,0,0
46002-P-NG-KA0-002,592283953.0544192,608754994.9078325,1
46002-P-NG-KA0-006,288500682.97425985,271312803.77050936,1
46002-P-RW-AAE-004,29576611.01671126,29593424.323338404,2
46002-P-RW-E00-013,101707740.77273475,101707740.77273475,3
46002-P-RW-F00-009,197976924.23586977,89836952.0128437,2
46002-P-RW-FA0-008,22240092.64897133,22240092.64897133,4
46002-P-RW-FA0-016,262486272.83169273,249921790.0833597,6
46002-P-RW-IZ0-002,34729803.21586315,34330575.23185975,1
46002-P-RW-IZ0-003,66449057.304853365,66449057.304853365,2
46002-P-RW-IZ0-004,55857891.23238592,48684105.24988236,1
46002-P-RW-IZ0-006,81366192.6181878,81366192.6181878,2
46002-P-RW-K00-006,29698660.305638544,30783951.49490038,1
46002-P-RW-K00-013,96283327.93152222,96283327.93152222,2
46002-P-SC-K00-004,19767980.206317544,18115348.89145343,2
46002-P-SC-K00-005,9910861.722223956,9651087.160821637,1
46002-P-SC-K00-015,9910861.722223956,9617207.60719657,1
46002-P-SC-K00-022,19821723.458008945,19174835.525022138,1
46002-P-SC-K00-023,24777154.325901438,25802817.738372438,1
46002-P-SC-K00-024,32705843.70639281,33576651.7947348,1
46002-P-SC-K00-025,24678498.047889434,25802817.751933467,1
46002-P-SC-K00-028,24777154.325901438,24816289.782982808,1
46002-P-SC-KA0-001,17467153.39019022,17907238.200884994,2
46002-P-SD-AA0-009,97639431.14182535,39055772.45673014,1
46002-P-SD-AAB-005,76999540.28101172,76999540.28101172,2
46002-P-SD-I00-008,62136649.09608941,15540942.790073868,1
46002-P-SD-I00-010,20341548.15454695,20341548.154546946,2
46002-P-SD-K00-007,27122064.2060626,1005226.7472372788,1
46002-P-SD-KF0-006,391513866.3723019,195278862.2836507,1
46002-P-SL-AA0-023,2034154.815454695,2034154.815454695,1
46002-P-SL-KA0-005,23415480.447025865,22080114.753453657,1
46002-P-SL-KA0-013,5424412.841212519,5424412.841212519,1
46002-P-SL-KA0-016,20341548.15454695,20341548.15454695,1
46002-P-SL-KA0-017,24409857.785456337,24409857.785456337,1
46002-P-SL-KF0-013,1356103.2103031299,734926.7365240634,4
46002-P-SN-A00-022,139383388.6985071,131909720.19522461,1
46002-P-SN-BG0-001,124309902.7131557,54857991.51621833,3
46002-P-SN-K00-005,40683096.3090939,39671934.25069196,2
46002-P-SN-K00-006,36614786.67818451,37293291.94054301,2
46002-P-SN-K00-008,34634875.99114194,34634875.99114194,1
46002-P-SN-K00-013,101414158.31420098,97539847.83165877,1
46002-P-SN-KA0-005,52862685.72172491,31539907.242540415,1
46002-P-SN-KA0-009,47165269.65434286,47165269.65434286,1
46002-P-SN-KA0-014,72027101.07172838,68472355.14444534,1
46002-P-SN-KA0-016,74908185.11351264,72060577.41518593,1
46002-P-SN-KA0-018,79086688.97908483,69181622.75378455,1
46002-P-SN-KA0-019,85641605.49059069,82883594.79907298,1
46002-P-SO-AA0-009,5424412.841212519,3518440.223648542,4
46002-P-SO-E00-005,24206442.30391087,7261932.691173261,1
46002-P-SO-E00-009,7236036.205243509,5671097.670621516,2
46002-P-SO-K00-003,120693185.71697856,116830724.28116362,1
46002-P-SO-KF0-015,13561032.1030313,5700485.905336161,3
46002-P-SS-A00-001,8136619.26181878,8136619.26181878,3
46002-P-SS-A00-002,5831243.804303459,4664995.043442767,2
46002-P-SS-AAZ-001,13561032.1030313,11311256.877138406,4
46002-P-SS-I00-003,17425926.25239522,17425926.25239522,3
46002-P-SS-I00-005,9492722.47212191,4271725.11245486,2
46002-P-SS-I00-006,1356103.2103031299,1356103.2103031299,2
46002-P-SS-I00-008,7322957.335636902,7322957.335636902,4
46002-P-SS-I00-009,2034154.815454695,2034154.815454695,3
46002-P-SS-I00-010,10848825.682425039,1084882.568242504,1
46002-P-SS-I00-011,1643759.8232726299,574554.0386787758,2
46002-P-SS-I00-014,19519668.242910635,5855900.47287319,1
46002-P-ST-K00-012,6780516.051515649,6780516.051515649,1
46002-P-ST-K00-013,5424412.841212519,5424412.841212519,1
46002-P-ST-K00-014,8136619.26181878,8136619.26181878,1
46002-P-ST-K00-015,10170774.077273475,10170774.077273475,1
46002-P-ST-K00-017,7379270.023202927,7437277.215974354,1
46002-P-SZ-AA0-013,39643446.91601789,41255307.421817265,1
46002-P-SZ-K00-005,35679102.21899169,36397295.102975704,1
46002-P-SZ-K00-008,46855039.37445672,47262770.4510535,1
46002-P-TD-AB0-005,11526877.287576605,193357.3589618759,1
46002-P-TD-K00-002,37471273.96403886,40064881.930874,1
46002-P-TD-K00-003,24556084.943592887,27008633.224257432,1
46002-P-TD-K00-009,20341548.15454695,20341548.15454695,1
46002-P-TD-KA0-001,11795218.339397376,10553213.408606105,1
46002-P-TD-KA0-005,18124319.40570133,18124319.40570133,1
46002-P-TD-KA0-006,42238139.86034849,42238139.86034849,2
46002-P-TD-KA0-007,62380747.673943974,62380747.673943974,1
46002-P-TD-KA0-009,61024644.46364084,61024644.46364084,1
46002-P-TG-AA0-015,5424412.841212519,5424412.841212519,1
46002-P-TG-KA0-002,12923663.594188828,12923663.594188828,1
46002-P-TG-KA0-004,6780516.051515649,6780516.051515649,1
46002-P-TG-KZ0-002,27122064.206062596,27122064.206062596,1
46002-P-TN-HA0-004,202190543.83807048,214886858.32925373,1
46002-P-TN-HAA-030,131561160.8514701,139676457.91265884,1
46002-P-TN-HZ0-002,308852209.3904723,290151975.8288164,1
46002-P-TN-HZ0-005,138292034.05988824,131088848.1801773,1
46002-P-TN-I00-012,210078470.36982292,203134478.85631683,1
46002-P-TN-I00-022,103959326.51846269,34478033.85376054,2
46002-P-TN-IAZ-002,207918653.03692538,190227930.27459735,1
46002-P-TN-IAZ-003,140596901.29060343,138790648.21733454,2
46002-P-TN-IZ0-001,499894281.99081385,441992337.52866465,1
46002-P-TN-IZ0-006,447718166.209434,462723034.9318626,2
46002-P-TN-IZ0-008,211383963.9168058,195453168.06051478,1
46002-P-TN-K00-018,68762680.83975336,65595150.57491997,1
46002-P-TN-KA0-003,246784980.4382112,220996168.76433232,2
46002-P-TZ-AA0-025,91225062.957091555,91225062.957091555,2
46002-P-TZ-AAZ-002,80281310.0499453,55228511.45975018,2
46002-P-TZ-HAA-004,65910241.08802873,67243335.023942,1
46002-P-TZ-IAC-002,886891499.5382469,27388619.83951875,2
46002-P-TZ-K00-007,67805160.5151565,65325686.53403074,2
46002-P-TZ-K00-008,67805160.5151565,66897750.25189618,1
46002-P-TZ-K00-009,135610321.030313,134262421.2002327,1
46002-P-TZ-K00-011,135610321.030313,135536010.7240642,3
46002-P-TZ-K00-013,52074945.04391741,52074945.04391741,1
46002-P-TZ-K00-014,67805160.5151565,67805160.5151565,1
46002-P-TZ-K00-016,48819715.570912674,48819715.570912674,2
46002-P-TZ-K00-018,107800255.19150212,109498322.98852602,1
46002-P-TZ-K00-019,169442589.1400543,172053717.4314863,1
46002-P-TZ-K00-020,155007498.1116263,154639678.2373913,1
46002-P-TZ-KA0-002,67805160.5151565,67805160.5151565,1
46002-P-TZ-KA0-005,54244128.41212519,54244128.41212519,1
46002-P-TZ-KA0-007,54244128.41212519,54244128.41212519,1
46002-P-UG-E00-012,89231590.13950235,89231590.13950235,6
46002-P-UG-K00-006,54811651.55741674,51708359.71180095,1
46002-P-UG-K00-009,31190373.836971987,31190373.836971987,1
46002-P-ZA-F00-013,474539644.0093463,468580434.27849215,1
46002-P-ZA-K00-005,305242621.42887175,291483181.5401807,1
46002-P-ZA-K00-006,299936569.1944883,304300090.57413346,1
46002-P-ZM-IZ0-002,20341548.15454695,21180937.94878541,1
46002-P-ZM-K00-002,27122064.206062596,28102580.01347967,1
46002-P-ZM-K00-003,20208417.5631639,20572106.557165857,1
46002-P-ZM-K00-006,107037306.6705361,111650872.47612242,2
46002-P-ZM-KA0-001,22187697.743579872,20192266.76719912,1
46002-P-ZM-KA0-004,43259692.408669844,43997099.15962284,1
46002-P-ZW-AA0-021,25765960.99575947,25765960.99575947,2
46002-P-ZW-AA0-024,33083493.918555155,6386673.858534026,1
46002-P-ZW-I00-004,3661478.667818451,1069525.9470007746,1
46002-P-ZW-KZ0-001,175758109.1446108,159116436.2014464,1
AU-5-INI950-NR,25127101.48840006,21401283.077000055,11
AU-5-INJ128-VN,49679061.606800124,49679062.980600126,5
AU-5-INJ402-WS,6782632.628500016,5408832.628500014,5
AU-5-INJ438-VU,32235598.79000008,32091698.73520008,10
AU-5-INJ648-ID,253776286.86750066,253406570.49840063,7
AU-5-INJ899-TV,19831594.99570005,21121062.908900056,10
AU-5-INK561-SB,51902950.500500135,51889143.81050013,5
AU-5-INL121-SB,57012700.00000015,50555388.70670013,4
AU-5-INL126-SB,19748375.000000052,13760675.255900037,5
AU-5-INL129-SB,39507572.10950011,38656546.9711001,6
AU-5-INL354-VN,2500340.7284000064,2500340.7284000064,5
AU-5-INL683-TO,11800214.57290003,11098510.504100028,6
BJ-IFU-3200700033415-RSG0123375-29295,0,8223150.732097378,4
CA-3-A032220001,12511333.983110486,12146320.133708656,9
CA-3-A032230001,6951998.761435608,6900337.361013371,8
CA-3-A033033001,103448275.86910625,103448275.86206897,9
CA-3-A033033002,39584699.514426455,39584699.507389165,7
CA-3-A033033004,50942806.48135117,50942806.47431386,6
CA-3-A033033007,87966220.97818437,87966220.97114709,5
CA-3-A033419002,77090637.5791696,74106823.36382829,6
CA-3-A033640001,9217866.530612245,9142369.894440535,9
CA-3-A033985001,116444640.64743139,116241242.3926812,6
CA-3-A033999002,703729.7677691766,703729.7677691766,3
CA-3-A034052001,13996717.811400423,13546798.029556649,2
CA-3-A034252001,45038705.137227304,45038705.137227304,5
CA-3-A034379001,14001012.54046446,13776673.096410979,6
CA-3-A034768005,3278593.4412385644,3265306.1224489794,4
CA-3-A034769001,2995812.5897255456,2536958.845883181,4
CA-3-A034782006,31667839.556650244,31667839.549612947,5
CA-3-A034908002,34699737.93807178,34582558.057705835,6
CA-3-A035209001,13835626.21393385,13630597.016185785,7
CA-3-A035261001,3442646.023926812,3442646.023926812,3
CA-3-A035342001,1869594.8486980998,1853872.118226601,6
CA-3-A035369002,10907811.400422238,10907811.400422238,4
CA-3-A035369003,84447572.1323012,84447572.1323012,5
CA-3-A035435001,14074595.355383532,14074595.355383532,4
CA-3-D000259001,13895881.477832511,13789584.095707247,5
CA-3-D000301001,4926108.381421533,4926108.3743842365,1
CA-3-D000327001,13629223.891625615,13626999.021815622,4
CA-3-D000954001,12315270.93596059,12315270.93596059,2
CA-3-D001661001,34632413.04011259,34482758.62068965,5
CA-3-P006740001,9148310.337790288,9130998.585503167,4
CA-3-P006740002,1407459.5355383533,1407459.5355383533,1
CH-4-2023-2004006120,0,1053215.5651636813,1
CH-4-2023-2018011172,0,13079.678814082767,1
CH-4-2023-2020010894,0,1235330.4508956147,1
CH-4-2023-2020010895,21000617.665225446,5339148.857319333,1
CH-4-2023-2023000533,6423718.344657196,1169781.3465101914,1
CH-4-2023-2023001248,0,157381.0994441013,1
CH-4-2024-2018011172,0,2872.143298332304,1
CH-4-2024-2020010895,0,3688849.907350216,1
CH-4-2024-2023000533,0,1182742.4336009882,1
CH-4-2024-2024000918,0,43418.15935762817,1
CH-4-2025-2020010895,0,3092982.087708462,1
CH-4-2025-2020011220,11117974.05806053,0,1
CH-4-2025-2023000533,0,789824.5830759729,1
DE-1-200570218,569700,569700,3
DE-1-200770347,569700,569700,2
DE-1-200970012,3418200,3418200.0000000005,3
DE-1-200970418,3670476.194736,3670476.194736,3
DE-1-201070259,2278800,2278800,4
DE-1-201165281,13672800,13672800,4
DE-1-201165828,21078900,21078900,3
DE-1-201166974,7463070,7463070,3
DE-1-201170307,1139400,1139400,3
DE-1-201170315,3418200,3418200,3
DE-1-201170323,569700,569700,2
DE-1-201265115,20509200,20509200,3
DE-1-201265248,5697000,5697000,1
DE-1-201265420,19723014,19723014,1
DE-1-201265743,17091000,17091000,1
DE-1-201265750,34182000,34182000,2
DE-1-201266287,17091000,17091000,1
DE-1-201270040,2278800,2278800,3
DE-1-201270370,9115200,9115200,3
DE-1-201366632,12533400,12533400,1
DE-1-201468453,85487047.869618,85487047.869618,1
DE-1-201468461,85455000,85455000,1
DE-1-201468479,85487047.869618,85487047.869618,1
DE-1-201468487,85455000,85455000,1
DE-1-201667484,113940000,113940000,1
DE-1-201667492,113940000,113940000,1
DE-1-201767508,7975800,7975800,4
DE-1-201767805,170910000,170910000,2
DE-1-201770114,4557600,4026124.431684,9
DE-1-201868785,20509200,20509200,2
DE-1-201965052,68591880,68591880,1
FI-3-2014-2000003078,0,12282732,1
FI-3-2014-2002023052,0,6836400,1
FI-3-2014-2004043014,0,533664.1962,1
FI-3-2014-2005050123,2278800,7975800,1
FI-3-2014-2008080028,0,127469.2356,1
FI-3-2014-2008080130,0,4074763.2984,1
FI-3-2014-2009091300,0,7975800,1
FI-3-2014-2012000151,0,6307718.4,1
FI-3-2014-2013130107,0,1195549.632,1
FI-3-2014-2013130132,0,2293188.3432,1
FI-3-2014-2013130288,0,1753739.4132,1
FI-3-2014-2014140714,13672800,0,0
FI-3-2014-2014140891,10254600,0,0
FI-3-2015-2005050123,20509200,10254600,1
FI-3-2015-2008080028,0,244372.815,1
FI-3-2015-2008080130,0,297219.3264,1
FI-3-2015-2009091300,0,5697000,1
FI-3-2015-2013130107,216486,918830.3904,1
FI-3-2015-2013130288,0,2170611.6912000002,1
FI-3-2015-2014140714,0,6836400,1
FI-3-2015-2014140891,0,3418200,1
FI-3-2015-2015150032,2278800,0,0
FI-3-2016-2005050123,0,10254600,1
FI-3-2016-2008080028,0,167765.25600000002,1
FI-3-2016-2009091300,0,2278800,1
FI-3-2016-2013130107,0,216226.21680000002,1
FI-3-2016-2013130288,0,2568365.9766,1
FI-3-2016-2014140891,0,3418200,1
