iatiidentifier,commitment_usd_full,disbursement_usd_full,n_disb_years_full
44000-P155605,70000000,77716470,1
44000-P155656,500000000,500000000,2
44000-P155694,200000000,207516660,1
44000-P155824,90000000,87600444,1
44000-P155920,50000000,50000000,1
44000-P155962,1200000000,1200000000,1
44000-P156444,50000000,53612191,1
44000-P156629,40000000,39391619,1
44000-P156761,9340000,9088880,1
44000-P156858,1250000000,1250000000,3
44000-P156963,30000000,29160390,1
44000-P157060,100000000,97208309,1
44000-P157207,500000000,492462936,1
44000-P157224,250000000,250000000,1
44000-P157343,200000000,201598528,1
44000-P157404,200000000,200000000,1
44000-P157405,150000000,150000000,1
44000-P157406,200000000,200000000,1
44000-P157469,24000000,23832725,1
44000-P157489,70000000,74903460,3
44000-P157804,100000000,100000000,1
44000-P158111,500000000,537364076,2
44000-P158140,400000000,400000000,1
44000-P158463,75000000,72332575,1
44000-P158520,800000000,749029100,2
44000-P158698,95000000,91399594,1
44000-P158739,600000000,699690960,2
44000-P159010,5000000,4839588,1
44000-P159023,60000000,64683180,1
44000-P159263,5500000,5565640,1
44000-P159351,150000000,150000000,1
44000-P159508,200000000,199231706,2
44000-P159547,100000000,99330255,1
44000-P159669,250000000,250000000,2
44000-P159710,200000000,200000000,1
44000-P159774,50000000,50000000,1
44000-P159956,38590000,39654615,1
44000-P159969,49971582,50634944,1
44000-P160236,225000000,225000000,1
44000-P160480,125000000,125000000,1
44000-P160544,100000000,102811740,1
44000-P160592,26000000,25413450,1
44000-P160594,10000000,10196123,1
44000-P160628,10000000,10042656,2
44000-P160667,250000000,250000000,1
44000-P160866,65000000,62329830,1
44000-P161136,301600000,301376429,1
44000-P161167,1443820000,1443820000,1
44000-P161184,200000000,182559500,2
44000-P161475,300000000,300000000,1
44000-P161483,500000000,484523506,2
44000-P161562,200000000,182137731,2
44000-P161619,59934795,57318757,1
44000-P161642,500000000,500000000,2
44000-P161794,5000000,5096675,2
44000-P161796,60000000,59166510,1
44000-P162071,400000000,408605505,2
44000-P162111,20000000,20697494,1
44000-P162279,45000000,45320330,1
44000-P162452,20000000,19952075,1
44000-P162671,125000000,125308920,1
44000-P162858,718500000,718500000,2
44000-P163057,26000000,26332392,1
44000-P163283,74885959,78663306,1
44000-P163284,125000000,126942330,1
44000-P163285,56000000,57224482,1
44000-P163318,120000000,121419485,1
44000-P163586,70000000,70000000,1
44000-P163657,200000000,206170574,1
44000-P163939,10000000,10024188,1
44000-P163966,20000000,20078212,1
44000-P163968,65000000,66311830.00000001,1
44000-P163973,300000000,300000000,1
44000-P163983,24000000,22929082,1
44000-P164079,1150000000,1150000000,1
44000-P164137,45000000,45161468,1
44000-P164201,200000000,198906862,2
44000-P164289,30000000,30000000,1
44000-P164321,5000000,5116471,1
44000-P164442,25000000,24620149,1
44000-P164525,180000000,180063320,1
44000-P164545,30000000,30871992.000000004,1
44000-P164575,100000000,93083303,1
44000-P164588,248883034,248883034,1
44000-P164882,90000000,87578652,1
44000-P165056,70000000,69745489,2
44000-P165425,35000000,34214168,1
44000-P165631,40000000,39642419,1
44000-P165717,150000000,147989556,1
44000-P165928,13700000,13627352,2
44000-P166019,500000000,500000000,1
44000-P166115,15000000,14647950,1
44000-P166124,110000000,108905340,1
44000-P166159,100000000,100000000,1
44000-P166298,100000000,98155800,1
44000-P166303,493060000,437050000,1
44000-P166322,90000000,91488349,1
44000-P166360,389000000,389000000,1
44000-P166388,100000000,99066240,1
44000-P166425,60000000,59123274,1
44000-P166458,125000000,124018048,1
44000-P166564,500000000,500000000,2
44000-P166694,200000000,200402775,1
44000-P166739,39918050,39714679,1
44000-P166752,100000000,98720648,1
44000-P166788,50000000,49342591,2
44000-P166839,40000000,40160307,1
44000-P167190,250000000,251384067,1
44000-P167246,40000000,39999999.99999999,1
44000-P167263,4999946,4989224,3
44000-P167297,1000000000,1020070896.0000001,1
44000-P167348,50000000,49718364,1
44000-P167465,15000000,15330543,1
44000-P167485,100000000,100251787,2
44000-P167547,250000000,249932065,1
44000-P167651,450000000,450000000,2
44000-P167674,500000000,500000000,2
44000-P167748,20000000,20000000,1
44000-P167889,500000000,500000000,1
44000-P167941,15921551,15019407,1
44000-P168035,124489645,124273357,2
44000-P168130,953625000.0000001,953625000,2
44000-P168166,30000000,30154971,1
44000-P168204,749999997,751130460,1
44000-P168218,40000000.00000001,39852160,1
44000-P168259,40000000,39670774,1
44000-P168280,700000000,700000000,2
44000-P168332,100000000,98310520,1
44000-P168335,10000000,10225917,1
44000-P168336,700000000,700000000,2
44000-P168402,64000000,63730093,1
44000-P168446,100000000,99738524,1
44000-P168474,49921554,51348187,1
44000-P168566,1200000000,1192202872,2
44000-P168580,275000000,271981770,1
44000-P168587,700000000,685246669,1
44000-P168606,100000000,100391319,1
44000-P168668,150000000,151405114,2
44000-P168697,100000000,99378719,1
44000-P168713,0,0,1
44000-P168724,250000000,252073350,1
44000-P168725,250000000,248695888,1
44000-P168749,10000000,9925810,1
44000-P168869,100000000,99140708,1
44000-P169040,225000000,226793940,2
44000-P169079,750000000,747401494,1
44000-P169179,5000000,5019264,1
44000-P169498,100000000,101555484,1
44000-P169505,200000000,200000000,1
