iatiidentifier,donor_ref,donor,org_type,x1_donor_type,a01,a02,modality,declared_activity,declared_transaction,status_code,status_name,recipient_main,commitment_usd,disbursement_usd,n_disb_years,first_disb_year,last_disb_year,planned_start,actual_start,planned_end,actual_end,y2_early_days,planned_duration_days,commitment_usd_full,disbursement_usd_full,n_disb_years_full,finance_type,finance_type_name,flow_type,flow_type_name,collaboration_type,collaboration_type_name,hierarchy,cp_eligible,complete_flag,y1_gap,y1_gap_full,y2_early_days_raw,log_commitment,log_disbursement
46002-P-SO-K00-003,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SO,120693185.71697856,116830724.28116362,1,2020,2020,2020-02-26,2020-03-02,2021-06-30,2020-08-31,303,490,120693185.71697856,116830724.28116362,1,421,Standard loan,10,ODA,2,Multilateral (inflows),1,1,1,0.03200231573033696,0.03200231573033696,303,18.60876222811098,18.576236644119152
46002-P-SO-AA0-009,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SO,5424412.841212519,102060.84292663349,1,2022,2023,2022-07-15,2022-08-01,2026-12-31,NA,NA,1630,5424412.841212519,3518440.223648542,4,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,0,0.981184905,0.3513693874999999,NA,15.506420219498729,15.073528331086697
46002-P-SO-KF0-015,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SO,13561032.1030313,0,0,NA,NA,2023-10-02,2023-11-30,2027-12-31,NA,NA,1551,13561032.1030313,5700485.905336161,3,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,0,1,0.5796421790003778,NA,16.422710951372885,15.556061975721702
46002-P-SO-E00-009,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SO,NA,NA,NA,NA,NA,2024-12-18,2025-02-15,2026-12-31,NA,NA,743,7236036.205243509,5671097.670621516,2,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,0,NA,0.21627013605708312,NA,15.794584128973405,15.550893249669492
46002-P-SO-E00-005,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SO,NA,NA,NA,NA,NA,2026-01-28,2026-02-26,2029-12-31,NA,NA,1433,24206442.30391087,7261932.691173261,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,0,NA,0.7,NA,17.002129366604485,15.798156562278551
46002-P-SL-KA0-017,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SL,24409857.785456337,24409857.785456337,1,2020,2020,2020-07-24,2020-08-04,2021-12-31,2021-12-31,0,525,24409857.785456337,24409857.785456337,1,421,Standard loan,10,ODA,2,Multilateral (inflows),1,1,1,0,0,0,17.010497616275003,17.010497616275003
46002-P-SL-KA0-016,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SL,20341548.15454695,20341548.15454695,1,2019,2019,2019-03-14,2019-04-29,2021-02-28,2021-02-28,0,717,20341548.15454695,20341548.15454695,1,421,Standard loan,10,ODA,2,Multilateral (inflows),1,1,1,0,0,0,16.82817605948105,16.82817605948105
46002-P-SL-KA0-005,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SL,NA,NA,NA,NA,NA,2003-12-10,2004-01-21,2007-12-31,2007-12-31,0,1482,23415480.447025865,22080114.753453657,1,421,Standard loan,10,ODA,2,Multilateral (inflows),1,1,1,NA,0.05702918189499806,0,16.968907919160397,16.91018797652695
46002-P-SL-KA0-013,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SL,5424412.841212519,5424412.841212519,1,2014,2014,2014-05-05,2014-05-22,2015-12-31,2014-12-31,365,605,5424412.841212519,5424412.841212519,1,421,Standard loan,10,ODA,2,Multilateral (inflows),1,1,1,0,0,365,15.506420219498729,15.506420219498729
46002-P-SL-AA0-023,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SL,2034154.815454695,2034154.815454695,1,2022,2022,2022-07-15,2022-08-18,2024-06-30,2025-01-29,-213,716,2034154.815454695,2034154.815454695,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,1,1,0,0,-213,14.525590966487004,14.525590966487004
46002-P-SL-KF0-013,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SL,1356103.21030313,251473.16203941652,1,2023,2023,2023-04-05,2023-07-05,2027-04-30,NA,NA,1486,1356103.21030313,734926.7365240634,4,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,0,0.81456193,0.4580598800000001,NA,14.12012585837884,13.507526095028219
46002-P-ZA-K00-005,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,ZA,305242621.42887175,291483181.5401807,1,2020,2020,2020-07-22,2020-09-09,2021-06-30,2021-06-30,0,343,305242621.42887175,291483181.5401807,1,421,Standard loan,10,ODA,2,Multilateral (inflows),1,1,1,0.04507705976407139,0.04507705976407139,0,19.536617498439746,19.490492865830227
46002-P-ZA-K00-006,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,ZA,299936569.1944883,304300090.57413346,1,2023,2023,2023-10-25,2023-11-17,2024-12-31,2026-02-16,-412,433,299936569.1944883,304300090.57413346,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,1,1,-0.01454814726781683,-0.01454814726781683,-412,19.519081574246357,19.533524912514654
46002-P-ZA-F00-013,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,ZA,NA,NA,NA,NA,NA,2025-06-27,2025-07-24,2025-11-30,NA,NA,156,474539644.0093463,468580434.27849215,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,0,NA,0.0125578754190172,NA,19.977855721542877,19.96521832959924
46002-P-SS-I00-006,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SS,1356103.21030313,1356103.21030313,1,2020,2022,2020-04-03,2020-05-21,2023-05-05,2023-03-07,59,1127,1356103.21030313,1356103.21030313,2,421,Standard loan,10,ODA,2,Multilateral (inflows),1,1,1,2.220446049250313e-16,0,59,14.12012585837884,14.12012585837884
46002-P-SS-I00-003,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,SS,17425926.25239522,17425926.252395216,1,2019,2023,2019-09-05,2019-09-26,2025-12-31,2026-02-05,-36,2309,17425926.25239522,17425926.25239522,3,421,Standard loan,10,ODA,2,Multilateral (inflows),1,0,1,2.220446049250313e-16,0,-36,16.673469669720067,16.673469669720067
46002-P-SS-AAZ-001,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SS,13561032.1030313,8136619.26181878,1,2021,2023,2020-12-18,2021-02-03,2026-12-31,NA,NA,2204,13561032.1030313,11311256.877138406,4,110,Standard grant,10,ODA,2,Multilateral (inflows),1,0,0,0.4,0.16590000000000005,NA,16.422710951372885,16.241308971638315
46002-P-SS-I00-009,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SS,2034154.815454695,1627323.852363756,1,2022,2023,2021-11-23,2022-02-03,2027-06-30,NA,NA,2045,2034154.815454695,2034154.815454695,3,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,0,0.19999999999999996,0,NA,14.525590966487004,14.525590966487004
46002-P-SS-I00-008,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SS,7322957.335636902,4393774.401382141,1,2022,2023,2021-12-03,2022-02-03,2027-06-30,NA,NA,2035,7322957.335636902,7322957.335636902,4,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,0,0.4,0,NA,15.806524811949068,15.806524811949068
46002-P-SS-A00-001,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,SS,8136619.26181878,7322957.335636902,1,2022,2023,2022-07-15,2022-08-29,2023-06-29,2025-06-29,-730,349,8136619.26181878,8136619.26181878,3,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,1,0.09999999999999998,0,-731,15.911885327606894,15.911885327606894
46002-P-SS-A00-002,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SS,5831243.804303459,2332497.5217213836,1,2023,2023,2023-04-18,2023-06-05,2027-12-31,NA,NA,1718,5831243.804303459,4664995.043442767,2,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,0,0.6,0.19999999999999996,NA,15.578740881078355,15.355597329764146
46002-P-SS-I00-005,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SS,NA,NA,NA,NA,NA,2023-11-02,2024-06-21,2027-06-11,NA,NA,1317,9492722.47212191,4271725.11245486,2,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,0,NA,0.5499999999999999,NA,16.066036007434153,15.267528311216381
46002-P-SS-I00-010,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SS,NA,NA,NA,NA,NA,2024-09-25,2024-12-18,2028-12-31,NA,NA,1558,10848825.68242504,1084882.568242504,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,0,NA,0.9,NA,16.199567400058676,13.89698230706463
46002-P-SS-I00-011,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SS,NA,NA,NA,NA,NA,2024-09-25,2025-03-19,2027-12-31,NA,NA,1192,1643759.82327263,574554.0386787758,2,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,0,NA,0.6504635102135103,NA,14.312496751025796,13.261349433951434
46002-P-SS-I00-014,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SS,NA,NA,NA,NA,NA,2024-09-25,2025-03-19,2027-12-31,NA,NA,1192,19519668.242910635,5855900.47287319,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,0,0,NA,0.7,NA,16.786933143052263,15.582960338726327
46002-P-SN-KA0-014,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,72027101.07172838,68472355.14444534,1,2019,2019,2019-11-21,2019-11-25,2021-12-31,2020-12-31,365,771,72027101.07172838,68472355.14444534,1,421,Standard loan,10,ODA,2,Multilateral (inflows),1,1,1,0.04935289459648018,0.04935289459648018,365,18.092553009932207,18.04194064724069
46002-P-SN-KA0-016,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,2,Implementation,SN,74908185.11351264,72060577.41518593,1,2021,2021,2021-06-30,2021-08-03,2022-12-31,NA,NA,549,74908185.11351264,72060577.41518593,1,421,Standard loan,10,ODA,2,Multilateral (inflows),1,1,0,0.0380146401092426,0.0380146401092426,NA,18.131773723071003,18.093017676229994
46002-P-SN-KA0-009,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,47165269.65434286,47165269.65434286,1,2016,2016,2016-09-14,2016-10-19,2017-12-31,2016-12-31,365,473,47165269.65434286,47165269.65434286,1,421,Standard loan,10,ODA,2,Multilateral (inflows),1,1,1,0,0,365,17.669168367304977,17.669168367304977
46002-P-SN-K00-005,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,NA,NA,NA,NA,NA,2008-12-22,2008-12-22,2010-12-31,2010-12-31,0,739,40683096.3090939,39671934.25069196,2,421,Standard loan,10,ODA,2,Multilateral (inflows),1,1,1,NA,0.02485459933333333,0,17.521323240040996,17.496154549826986
46002-P-SN-K00-006,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,NA,NA,NA,NA,NA,2011-07-06,2011-07-27,2013-09-30,2013-09-30,0,817,36614786.67818451,37293291.94054301,2,421,Standard loan,10,ODA,2,Multilateral (inflows),1,1,1,NA,-0.01853090851851835,0,17.415962724383167,17.434324027704648
46002-P-SN-K00-008,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,NA,NA,NA,NA,NA,2013-06-19,2013-07-25,2015-12-31,2014-12-31,365,925,34634875.99114194,34634875.99114194,1,421,Standard loan,10,ODA,2,Multilateral (inflows),1,1,1,NA,0,365,17.360371708983234,17.360371708983234
46002-P-SN-KA0-005,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,NA,NA,NA,NA,NA,2003-12-10,2004-01-16,2007-12-31,2007-09-30,92,1482,52862685.72172491,31539907.242540415,1,421,Standard loan,10,ODA,2,Multilateral (inflows),1,1,1,NA,0.403361618655359,92,17.783208274054886,17.26676419854812
46002-P-SN-K00-013,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,101414158.31420098,97539847.83165877,1,2020,2020,2020-05-29,2020-06-04,2021-12-31,2021-06-30,184,581,101414158.31420098,97539847.83165877,1,421,Standard loan,10,ODA,2,Multilateral (inflows),1,1,1,0.03820285596157924,0.03820285596157924,184,18.434723267719406,18.395771548184054
46002-P-SN-BG0-001,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,SN,124309902.71315569,29123081.975082956,1,2022,2022,2021-11-26,2022-02-24,2028-06-30,NA,NA,2408,124309902.7131557,54857991.51621833,3,NA,not declared,10,ODA,2,Multilateral (inflows),1,0,0,0.7657219470094487,0.558699747012088,NA,18.638288221152806,17.820258431724753
46002-P-SN-A00-022,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,139383388.6985071,131909720.1952246,1,2022,2023,2022-07-08,2022-08-10,2024-06-30,2025-02-02,-217,723,139383388.6985071,131909720.1952246,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,1,1,0.05361950640652302,0.05361950640652313,-217,18.752738886338786,18.69762830864345
46002-P-SN-KA0-018,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,79086688.97908483,69181622.75378455,1,2023,2023,2022-11-30,2023-02-07,2025-12-30,2025-09-25,96,1126,79086688.97908483,69181622.75378455,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,1,1,0.12524315220630566,0.12524315220630566,96,18.18605513765525,18.052245818176857
46002-P-SN-KA0-019,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,SN,85641605.49059069,0,0,NA,NA,2023-12-01,2023-12-13,2024-06-30,2026-01-08,-557,212,85641605.49059069,82883594.79907298,1,NA,not declared,NA,not declared,2,Multilateral (inflows),1,1,1,1,0.03220409841360028,-557,18.265681768480967,18.23294770907578
