iso2,iso3,year,coup,coup_attempt,election_year
BR,BRA,2019,0,0,0
BR,BRA,2020,0,0,0
BR,BRA,2021,0,0,0
BR,BRA,2022,0,0,1
BR,BRA,2023,0,0,0
BR,BRA,2024,0,0,0
BR,BRA,2025,0,0,0
US,USA,2014,0,0,1
US,USA,2015,0,0,0
US,USA,2016,0,0,1
US,USA,2017,0,0,0
US,USA,2018,0,0,1
US,USA,2019,0,0,0
US,USA,2020,0,0,1
US,USA,2021,0,0,0
US,USA,2022,0,0,1
US,USA,2023,0,0,0
US,USA,2024,0,0,1
US,USA,2025,0,0,0
PT,PRT,2014,0,0,0
PT,PRT,2015,0,0,1
PT,PRT,2016,0,0,1
PT,PRT,2017,0,0,0
PT,PRT,2018,0,0,0
PT,PRT,2019,0,0,1
PT,PRT,2020,0,0,0
PT,PRT,2021,0,0,1
PT,PRT,2022,0,0,1
PT,PRT,2023,0,0,0
PT,PRT,2024,0,0,1
PT,PRT,2025,0,0,1
SV,SLV,2014,0,0,1
SV,SLV,2015,0,0,1
SV,SLV,2016,0,0,0
SV,SLV,2017,0,0,0
SV,SLV,2018,0,0,1
SV,SLV,2019,0,0,1
SV,SLV,2020,0,0,0
SV,SLV,2021,0,0,1
SV,SLV,2022,0,0,0
SV,SLV,2023,0,0,0
SV,SLV,2024,0,0,1
SV,SLV,2025,0,0,0
BD,BGD,2014,0,0,1
BD,BGD,2015,0,0,0
BD,BGD,2016,0,0,0
BD,BGD,2017,0,0,0
BD,BGD,2018,0,0,1
BD,BGD,2019,0,0,0
BD,BGD,2020,0,0,0
BD,BGD,2021,0,0,0
BD,BGD,2022,0,0,0
BD,BGD,2023,0,0,0
BD,BGD,2024,1,1,1
BD,BGD,2025,0,0,0
BO,BOL,2014,0,0,1
BO,BOL,2015,0,0,0
BO,BOL,2016,0,0,0
BO,BOL,2017,0,0,0
BO,BOL,2018,0,0,0
BO,BOL,2019,0,0,1
BO,BOL,2020,0,0,1
BO,BOL,2021,0,0,0
BO,BOL,2022,0,0,0
BO,BOL,2023,0,0,0
BO,BOL,2024,0,1,0
BO,BOL,2025,0,0,1
HT,HTI,2014,0,0,0
HT,HTI,2015,0,0,1
HT,HTI,2016,0,0,1
HT,HTI,2017,0,0,0
HT,HTI,2018,0,0,0
HT,HTI,2019,0,0,0
HT,HTI,2020,0,0,0
HT,HTI,2021,0,0,0
HT,HTI,2022,0,0,0
HT,HTI,2023,0,0,0
HT,HTI,2024,0,0,0
HT,HTI,2025,0,0,0
HN,HND,2014,0,0,0
HN,HND,2015,0,0,0
HN,HND,2016,0,0,0
HN,HND,2017,0,0,1
HN,HND,2018,0,0,0
HN,HND,2019,0,0,0
HN,HND,2020,0,0,0
HN,HND,2021,0,0,1
HN,HND,2022,0,0,0
HN,HND,2023,0,0,0
HN,HND,2024,0,0,0
HN,HND,2025,0,0,1
ML,MLI,2014,0,0,0
ML,MLI,2015,0,0,0
ML,MLI,2016,0,0,0
ML,MLI,2017,0,0,0
ML,MLI,2018,0,0,1
ML,MLI,2019,0,0,0
ML,MLI,2020,1,1,1
ML,MLI,2021,1,1,0
ML,MLI,2022,0,0,0
ML,MLI,2023,0,0,0
ML,MLI,2024,0,0,0
ML,MLI,2025,0,0,0
PK,PAK,2014,0,0,0
PK,PAK,2015,0,0,0
PK,PAK,2016,0,0,0
PK,PAK,2017,0,0,0
PK,PAK,2018,0,0,1
PK,PAK,2019,0,0,0
PK,PAK,2020,0,0,0
PK,PAK,2021,0,0,0
PK,PAK,2022,0,0,0
PK,PAK,2023,0,0,0
PK,PAK,2024,0,0,1
PK,PAK,2025,0,0,0
PE,PER,2014,0,0,0
PE,PER,2015,0,0,0
PE,PER,2016,0,0,1
PE,PER,2017,0,0,0
PE,PER,2018,0,0,0
PE,PER,2019,0,0,0
PE,PER,2020,0,0,1
PE,PER,2021,0,0,1
PE,PER,2022,0,0,0
PE,PER,2023,0,0,0
PE,PER,2024,0,0,0
PE,PER,2025,0,0,0
SN,SEN,2014,0,0,0
